66M,4.46235
22M,4.10773
101M,4.78766
130M,5.58181
128M,7.43092
91M,4.95602
89M,4.8097
45M,3.68474
4M,2.86747
153M,5.89093
70M,6.30307
68M,6.33905
24M,3.0458
103M,6.51647
132M,11.4261
93M,7.78981
47M,4.84101
6M,2.97101
155M,8.36402
111M,4.99576
72M,5.16434
26M,3.48005
105M,6.3463
134M,5.91308
95M,5.94846
51M,4.61688
49M,6.01351
8M,3.26379
157M,6.47572
113M,4.63492
74M,6.57532
28M,4.18635
30M,5.98451
107M,6.07841
136M,6.80006
97M,4.77074
53M,6.37931
161M,8.55973
159M,6.46031
115M,6.35409
76M,6.62147
32M,4.62761
109M,6.3897
140M,6.67496
138M,5.91177
99M,7.59668
55M,5.01161
11M,3.50105
163M,6.04877
117M,7.93327
80M,4.99508
78M,5.85132
34M,5.03352
142M,7.16434
57M,5.27141
13M,3.73153
165M,6.72043
121M,9.26845
119M,6.80837
82M,6.81906
36M,6.8275
144M,8.67526
61M,5.47296
59M,6.34728
15M,4.26411
167M,7.27972
123M,5.47914
84M,6.55771
40M,4.11089
38M,5.2764
146M,6.47061
63M,3.60561
17M,3.36494
169M,10.0379
125M,6.38191
86M,5.85326
42M,3.96127
1M,3.16851
150M,7.07188
148M,7.74855
65M,3.65586
21M,3.73515
19M,4.07849
100M,5.79989
127M,7.69007
90M,5.79271
88M,5.71231
44M,3.73985
3M,2.66816
152M,6.41325
67M,4.31499
23M,6.80055
102M,5.99931
131M,7.07525
129M,7.019
92M,5.06505
46M,6.76281
5M,3.03474
154M,6.62849
110M,6.40963
71M,5.57266
69M,8.84468
25M,5.38318
104M,7.36303
133M,8.52514
94M,6.51949
50M,5.17975
48M,3.5779
7M,3.34318
156M,7.56974
112M,4.58041
73M,4.92317
27M,3.76191
106M,4.99696
135M,8.3177
96M,5.9109
52M,4.6518
9M,2.95866
160M,6.39245
158M,7.75717
114M,6.71857
75M,8.76911
29M,5.59288
31M,3.66298
108M,8.05099
137M,6.78373
98M,5.67269
54M,7.12737
10M,3.06561
162M,7.3052
116M,6.0092
77M,5.96913
33M,3.81938
141M,6.64088
139M,5.93682
56M,6.39289
12M,3.45067
164M,6.1636
120M,5.94048
118M,12.2294
81M,7.7263
79M,6.66564
35M,5.19622
143M,7.18706
60M,5.74851
58M,5.12467
14M,3.14698
166M,7.50899
122M,4.83358
83M,5.89933
37M,5.14549
145M,9.09108
62M,5.00173
16M,3.07743
170M,5.7734
168M,5.96614
124M,5.54143
85M,8.22446
41M,6.09517
39M,4.39784
147M,8.89344
64M,5.10886
20M,3.25805
18M,3.86218
126M,6.20741
87M,6.50487
43M,5.03748
2M,2.78397
151M,8.65435
149M,7.04898
