File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,1M, Num_Chunks:1024,2.5592
,1M, Num_Chunks:1024,3.4970
,1M, Num_Chunks:1024,3.2202
,1M, Num_Chunks:1024,3.3997
,1M, Num_Chunks:1024,2.9342
,1M, Num_Chunks:1024,2.8952
,1M, Num_Chunks:1024,3.6987
,1M, Num_Chunks:1024,3.0263
,1M, Num_Chunks:1024,3.0333
,1M, Num_Chunks:1024,3.4213
,2M, Num_Chunks:512,3.1511
,2M, Num_Chunks:512,2.6513
,2M, Num_Chunks:512,2.8168
,2M, Num_Chunks:512,2.8203
,2M, Num_Chunks:512,2.6366
,2M, Num_Chunks:512,2.7982
,2M, Num_Chunks:512,2.7096
,2M, Num_Chunks:512,2.8272
,2M, Num_Chunks:512,2.7227
,2M, Num_Chunks:512,2.7059
,3M, Num_Chunks:341,2.4941
,3M, Num_Chunks:341,2.7875
,3M, Num_Chunks:341,2.6338
,3M, Num_Chunks:341,2.7128
,3M, Num_Chunks:341,2.6697
,3M, Num_Chunks:341,2.6656
,3M, Num_Chunks:341,2.7152
,3M, Num_Chunks:341,2.6640
,3M, Num_Chunks:341,2.6281
,3M, Num_Chunks:341,2.7108
,4M, Num_Chunks:256,2.7218
,4M, Num_Chunks:256,4.1557
,4M, Num_Chunks:256,2.7306
,4M, Num_Chunks:256,2.6269
,4M, Num_Chunks:256,2.7121
,4M, Num_Chunks:256,2.7029
,4M, Num_Chunks:256,2.8758
,4M, Num_Chunks:256,2.5259
,4M, Num_Chunks:256,2.5019
,4M, Num_Chunks:256,3.1211
,5M, Num_Chunks:204,2.6468
,5M, Num_Chunks:204,4.8933
,5M, Num_Chunks:204,3.0008
,5M, Num_Chunks:204,2.8933
,5M, Num_Chunks:204,2.7817
,5M, Num_Chunks:204,2.7972
,5M, Num_Chunks:204,2.7468
,5M, Num_Chunks:204,2.6455
,5M, Num_Chunks:204,2.9750
,5M, Num_Chunks:204,2.9670
,6M, Num_Chunks:170,2.9421
,6M, Num_Chunks:170,2.9637
,6M, Num_Chunks:170,2.7752
,6M, Num_Chunks:170,2.8611
,6M, Num_Chunks:170,2.6704
,6M, Num_Chunks:170,2.9988
,6M, Num_Chunks:170,3.9844
,6M, Num_Chunks:170,3.0404
,6M, Num_Chunks:170,2.9070
,6M, Num_Chunks:170,2.5670
,7M, Num_Chunks:146,2.9640
,7M, Num_Chunks:146,3.3241
,7M, Num_Chunks:146,3.0139
,7M, Num_Chunks:146,2.6541
,7M, Num_Chunks:146,2.6451
,7M, Num_Chunks:146,2.6357
,7M, Num_Chunks:146,7.8385
,7M, Num_Chunks:146,2.8010
,7M, Num_Chunks:146,2.7019
,7M, Num_Chunks:146,2.8535
,8M, Num_Chunks:128,2.7803
,8M, Num_Chunks:128,5.2943
,8M, Num_Chunks:128,3.0100
,8M, Num_Chunks:128,2.7723
,8M, Num_Chunks:128,3.1227
,8M, Num_Chunks:128,2.9216
,8M, Num_Chunks:128,3.1286
,8M, Num_Chunks:128,3.4419
,8M, Num_Chunks:128,2.8704
,8M, Num_Chunks:128,3.2958
,9M, Num_Chunks:113,3.4037
,9M, Num_Chunks:113,2.6314
,9M, Num_Chunks:113,4.0959
,9M, Num_Chunks:113,2.9400
,9M, Num_Chunks:113,2.7163
,9M, Num_Chunks:113,3.0507
,9M, Num_Chunks:113,2.6150
,9M, Num_Chunks:113,2.6821
,9M, Num_Chunks:113,2.7711
,9M, Num_Chunks:113,2.6804
,10M, Num_Chunks:102,5.7412
,10M, Num_Chunks:102,2.7060
,10M, Num_Chunks:102,2.7173
,10M, Num_Chunks:102,2.5971
,10M, Num_Chunks:102,2.7442
,10M, Num_Chunks:102,2.8003
,10M, Num_Chunks:102,2.7967
,10M, Num_Chunks:102,3.0330
,10M, Num_Chunks:102,2.6882
,10M, Num_Chunks:102,2.8321
,11M, Num_Chunks:93,2.7659
,11M, Num_Chunks:93,2.7196
,11M, Num_Chunks:93,2.7822
,11M, Num_Chunks:93,3.9989
,11M, Num_Chunks:93,3.0528
,11M, Num_Chunks:93,2.8046
,11M, Num_Chunks:93,4.6576
,11M, Num_Chunks:93,2.8565
,11M, Num_Chunks:93,6.3342
,11M, Num_Chunks:93,3.0382
,12M, Num_Chunks:85,3.1783
,12M, Num_Chunks:85,4.4974
,12M, Num_Chunks:85,2.8366
,12M, Num_Chunks:85,2.8052
,12M, Num_Chunks:85,3.1311
,12M, Num_Chunks:85,5.4671
,12M, Num_Chunks:85,3.1396
,12M, Num_Chunks:85,2.8525
,12M, Num_Chunks:85,2.8879
,12M, Num_Chunks:85,3.7110
,13M, Num_Chunks:78,2.9553
,13M, Num_Chunks:78,6.7649
,13M, Num_Chunks:78,2.8684
,13M, Num_Chunks:78,3.2137
,13M, Num_Chunks:78,3.4625
,13M, Num_Chunks:78,2.5249
,13M, Num_Chunks:78,3.3934
,13M, Num_Chunks:78,5.8017
,13M, Num_Chunks:78,3.3934
,13M, Num_Chunks:78,2.9371
,14M, Num_Chunks:73,2.9700
,14M, Num_Chunks:73,2.7962
,14M, Num_Chunks:73,4.2192
,14M, Num_Chunks:73,2.8742
,14M, Num_Chunks:73,3.0367
,14M, Num_Chunks:73,4.2939
,14M, Num_Chunks:73,2.8037
,14M, Num_Chunks:73,2.7814
,14M, Num_Chunks:73,2.9221
,14M, Num_Chunks:73,2.7724
,15M, Num_Chunks:68,7.0336
,15M, Num_Chunks:68,2.8156
,15M, Num_Chunks:68,2.9643
,15M, Num_Chunks:68,2.8492
,15M, Num_Chunks:68,7.6935
,15M, Num_Chunks:68,2.8937
,15M, Num_Chunks:68,2.5917
,15M, Num_Chunks:68,2.7448
,15M, Num_Chunks:68,2.7437
,15M, Num_Chunks:68,8.3110
,16M, Num_Chunks:64,4.2785
,16M, Num_Chunks:64,2.7049
,16M, Num_Chunks:64,3.0618
,16M, Num_Chunks:64,2.9043
,16M, Num_Chunks:64,3.4837
,16M, Num_Chunks:64,3.1245
,16M, Num_Chunks:64,2.6955
,16M, Num_Chunks:64,2.8878
,16M, Num_Chunks:64,2.6796
,16M, Num_Chunks:64,2.9537
,17M, Num_Chunks:60,2.8554
,17M, Num_Chunks:60,2.8104
,17M, Num_Chunks:60,3.9260
,17M, Num_Chunks:60,4.3195
,17M, Num_Chunks:60,4.4322
,17M, Num_Chunks:60,2.8286
,17M, Num_Chunks:60,2.9300
,17M, Num_Chunks:60,3.1787
,17M, Num_Chunks:60,3.2172
,17M, Num_Chunks:60,3.1514
,18M, Num_Chunks:56,2.9144
,18M, Num_Chunks:56,3.5967
,18M, Num_Chunks:56,3.5586
,18M, Num_Chunks:56,2.7979
,18M, Num_Chunks:56,3.3135
,18M, Num_Chunks:56,2.9384
,18M, Num_Chunks:56,3.4650
,18M, Num_Chunks:56,3.3105
,18M, Num_Chunks:56,3.0691
,18M, Num_Chunks:56,9.6577
,19M, Num_Chunks:53,6.6175
,19M, Num_Chunks:53,3.3711
,19M, Num_Chunks:53,3.4517
