File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,19M, Num_Chunks:53,8.1698
,19M, Num_Chunks:53,3.1684
,19M, Num_Chunks:53,3.2244
,19M, Num_Chunks:53,2.9406
,19M, Num_Chunks:53,3.9066
,19M, Num_Chunks:53,2.9242
,19M, Num_Chunks:53,3.0106
,20M, Num_Chunks:51,2.9187
,20M, Num_Chunks:51,3.0388
,20M, Num_Chunks:51,5.2574
,20M, Num_Chunks:51,3.1734
,20M, Num_Chunks:51,2.8700
,20M, Num_Chunks:51,3.2735
,20M, Num_Chunks:51,2.9217
,20M, Num_Chunks:51,2.9406
,20M, Num_Chunks:51,3.1536
,20M, Num_Chunks:51,3.0328
,21M, Num_Chunks:48,3.1017
,21M, Num_Chunks:48,3.3997
,21M, Num_Chunks:48,7.8047
,21M, Num_Chunks:48,2.9797
,21M, Num_Chunks:48,3.2090
,21M, Num_Chunks:48,3.2003
,21M, Num_Chunks:48,4.7276
,21M, Num_Chunks:48,2.8975
,21M, Num_Chunks:48,3.0678
,21M, Num_Chunks:48,2.9635
,22M, Num_Chunks:46,2.8511
,22M, Num_Chunks:46,3.1449
,22M, Num_Chunks:46,2.9994
,22M, Num_Chunks:46,3.3893
,22M, Num_Chunks:46,3.8062
,22M, Num_Chunks:46,3.1288
,22M, Num_Chunks:46,2.9322
,22M, Num_Chunks:46,4.2454
,22M, Num_Chunks:46,11.3010
,22M, Num_Chunks:46,3.2790
,23M, Num_Chunks:44,12.7569
,23M, Num_Chunks:44,11.8877
,23M, Num_Chunks:44,2.8307
,23M, Num_Chunks:44,12.3841
,23M, Num_Chunks:44,2.9750
,23M, Num_Chunks:44,5.5625
,23M, Num_Chunks:44,5.8477
,23M, Num_Chunks:44,7.7456
,23M, Num_Chunks:44,3.0836
,23M, Num_Chunks:44,2.9317
,24M, Num_Chunks:42,2.9589
,24M, Num_Chunks:42,3.2899
,24M, Num_Chunks:42,2.7625
,24M, Num_Chunks:42,3.1493
,24M, Num_Chunks:42,3.0307
,24M, Num_Chunks:42,3.0386
,24M, Num_Chunks:42,3.0737
,24M, Num_Chunks:42,3.0659
,24M, Num_Chunks:42,3.2778
,24M, Num_Chunks:42,2.8107
,25M, Num_Chunks:40,3.4029
,25M, Num_Chunks:40,11.7705
,25M, Num_Chunks:40,2.8170
,25M, Num_Chunks:40,3.1943
,25M, Num_Chunks:40,3.1710
,25M, Num_Chunks:40,2.9384
,25M, Num_Chunks:40,4.4029
,25M, Num_Chunks:40,12.4160
,25M, Num_Chunks:40,3.2248
,25M, Num_Chunks:40,6.4940
,26M, Num_Chunks:39,3.0362
,26M, Num_Chunks:39,3.0253
,26M, Num_Chunks:39,3.1617
,26M, Num_Chunks:39,3.1470
,26M, Num_Chunks:39,3.0335
,26M, Num_Chunks:39,4.1182
,26M, Num_Chunks:39,3.0944
,26M, Num_Chunks:39,5.9592
,26M, Num_Chunks:39,3.0451
,26M, Num_Chunks:39,3.1799
,27M, Num_Chunks:37,2.8890
,27M, Num_Chunks:37,2.8665
,27M, Num_Chunks:37,6.0325
,27M, Num_Chunks:37,3.0670
,27M, Num_Chunks:37,4.1095
,27M, Num_Chunks:37,2.8079
,27M, Num_Chunks:37,3.5179
,27M, Num_Chunks:37,3.5752
,27M, Num_Chunks:37,5.6054
,27M, Num_Chunks:37,3.1482
,28M, Num_Chunks:36,2.9900
,28M, Num_Chunks:36,3.3345
,28M, Num_Chunks:36,2.9948
,28M, Num_Chunks:36,2.8397
,28M, Num_Chunks:36,2.8681
,28M, Num_Chunks:36,5.4131
,28M, Num_Chunks:36,3.0916
,28M, Num_Chunks:36,2.9328
,28M, Num_Chunks:36,12.6449
,28M, Num_Chunks:36,2.7540
,29M, Num_Chunks:35,3.5076
,29M, Num_Chunks:35,3.2831
,29M, Num_Chunks:35,2.9514
,29M, Num_Chunks:35,3.3923
,29M, Num_Chunks:35,9.3541
,29M, Num_Chunks:35,2.9342
,29M, Num_Chunks:35,3.2128
,29M, Num_Chunks:35,9.4023
,29M, Num_Chunks:35,4.4776
,29M, Num_Chunks:35,13.4134
,30M, Num_Chunks:34,13.7667
,30M, Num_Chunks:34,3.3243
,30M, Num_Chunks:34,13.3952
,30M, Num_Chunks:34,2.8893
,30M, Num_Chunks:34,2.8082
,30M, Num_Chunks:34,3.0710
,30M, Num_Chunks:34,3.0835
,30M, Num_Chunks:34,2.9151
,30M, Num_Chunks:34,3.1215
,30M, Num_Chunks:34,11.4703
,31M, Num_Chunks:33,2.8333
,31M, Num_Chunks:33,3.1262
,31M, Num_Chunks:33,3.4583
,31M, Num_Chunks:33,2.9318
,31M, Num_Chunks:33,2.9194
,31M, Num_Chunks:33,2.8862
,31M, Num_Chunks:33,2.9794
,31M, Num_Chunks:33,7.4764
,31M, Num_Chunks:33,4.2208
,31M, Num_Chunks:33,3.7980
,32M, Num_Chunks:32,2.9458
,32M, Num_Chunks:32,2.9580
,32M, Num_Chunks:32,3.2368
,32M, Num_Chunks:32,3.7210
,32M, Num_Chunks:32,2.6719
,32M, Num_Chunks:32,2.9224
,32M, Num_Chunks:32,13.8916
,32M, Num_Chunks:32,5.4766
,32M, Num_Chunks:32,2.9285
,32M, Num_Chunks:32,5.5235
,33M, Num_Chunks:31,5.2036
,33M, Num_Chunks:31,7.1237
,33M, Num_Chunks:31,3.0120
,33M, Num_Chunks:31,3.2327
,33M, Num_Chunks:31,3.2183
,33M, Num_Chunks:31,3.6808
,33M, Num_Chunks:31,3.1823
,33M, Num_Chunks:31,2.7504
,33M, Num_Chunks:31,3.4465
,33M, Num_Chunks:31,3.3435
,34M, Num_Chunks:30,2.8641
,34M, Num_Chunks:30,3.0793
,34M, Num_Chunks:30,3.1339
,34M, Num_Chunks:30,9.2217
,34M, Num_Chunks:30,3.3902
,34M, Num_Chunks:30,3.5011
,34M, Num_Chunks:30,3.5306
,34M, Num_Chunks:30,15.1020
,34M, Num_Chunks:30,3.4570
,34M, Num_Chunks:30,3.0553
,35M, Num_Chunks:29,3.2062
,35M, Num_Chunks:29,5.7633
,35M, Num_Chunks:29,10.8640
,35M, Num_Chunks:29,3.6951
,35M, Num_Chunks:29,13.1617
,35M, Num_Chunks:29,3.0434
,35M, Num_Chunks:29,3.1470
,35M, Num_Chunks:29,3.2690
,35M, Num_Chunks:29,2.9819
,35M, Num_Chunks:29,2.8306
,36M, Num_Chunks:28,6.1688
,36M, Num_Chunks:28,9.8251
,36M, Num_Chunks:28,5.6817
,36M, Num_Chunks:28,4.1664
,36M, Num_Chunks:28,2.9680
,36M, Num_Chunks:28,3.2316
,36M, Num_Chunks:28,9.9654
,36M, Num_Chunks:28,3.1919
,36M, Num_Chunks:28,14.2033
,36M, Num_Chunks:28,8.8728
,37M, Num_Chunks:27,2.9489
,37M, Num_Chunks:27,2.7845
,37M, Num_Chunks:27,3.5054
,37M, Num_Chunks:27,7.6361
,37M, Num_Chunks:27,6.0763
,37M, Num_Chunks:27,3.6725
,37M, Num_Chunks:27,3.2003
,37M, Num_Chunks:27,4.1973
,37M, Num_Chunks:27,3.4054
,37M, Num_Chunks:27,14.0282
,38M, Num_Chunks:26,5.4468
,38M, Num_Chunks:26,4.1900
,38M, Num_Chunks:26,11.0342
,38M, Num_Chunks:26,3.9907
,38M, Num_Chunks:26,3.2552
,38M, Num_Chunks:26,12.3352
,38M, Num_Chunks:26,3.2662
,38M, Num_Chunks:26,2.9868
,38M, Num_Chunks:26,2.9131
,38M, Num_Chunks:26,3.3458
,39M, Num_Chunks:26,3.1363
,39M, Num_Chunks:26,3.3557
,39M, Num_Chunks:26,13.7045
,39M, Num_Chunks:26,3.0544
,39M, Num_Chunks:26,3.3423
,39M, Num_Chunks:26,3.2218
,39M, Num_Chunks:26,3.4505
,39M, Num_Chunks:26,3.3329
,39M, Num_Chunks:26,3.1420
,39M, Num_Chunks:26,4.2380
,40M, Num_Chunks:25,4.1137
,40M, Num_Chunks:25,3.7640
,40M, Num_Chunks:25,3.1689
,40M, Num_Chunks:25,3.4759
,40M, Num_Chunks:25,7.1408
,40M, Num_Chunks:25,6.1377
,40M, Num_Chunks:25,2.9425
,40M, Num_Chunks:25,4.0562
,40M, Num_Chunks:25,3.0561
,40M, Num_Chunks:25,3.2531
,41M, Num_Chunks:24,4.5830
,41M, Num_Chunks:24,2.9161
,41M, Num_Chunks:24,3.0068
,41M, Num_Chunks:24,9.6878
,41M, Num_Chunks:24,2.9795
,41M, Num_Chunks:24,14.3261
,41M, Num_Chunks:24,3.2201
,41M, Num_Chunks:24,3.0983
,41M, Num_Chunks:24,13.8851
,41M, Num_Chunks:24,3.2489
,42M, Num_Chunks:24,3.1202
,42M, Num_Chunks:24,4.3084
,42M, Num_Chunks:24,3.3064
,42M, Num_Chunks:24,2.9171
,42M, Num_Chunks:24,3.5799
,42M, Num_Chunks:24,3.5391
,42M, Num_Chunks:24,3.2305
,42M, Num_Chunks:24,3.1542
,42M, Num_Chunks:24,3.3398
,42M, Num_Chunks:24,9.1171
,43M, Num_Chunks:23,2.9846
,43M, Num_Chunks:23,3.2113
,43M, Num_Chunks:23,15.1175
,43M, Num_Chunks:23,7.9617
,43M, Num_Chunks:23,3.5970
,43M, Num_Chunks:23,4.1680
,43M, Num_Chunks:23,2.8824
,43M, Num_Chunks:23,3.6036
,43M, Num_Chunks:23,3.5915
,43M, Num_Chunks:23,3.2572
,44M, Num_Chunks:23,4.1369
,44M, Num_Chunks:23,3.0999
,44M, Num_Chunks:23,2.8733
,44M, Num_Chunks:23,2.8660
,44M, Num_Chunks:23,3.5180
,44M, Num_Chunks:23,3.6284
,44M, Num_Chunks:23,6.8574
,44M, Num_Chunks:23,3.2020
,44M, Num_Chunks:23,4.0732
,44M, Num_Chunks:23,3.1434
,45M, Num_Chunks:22,3.3960
,45M, Num_Chunks:22,3.6525
,45M, Num_Chunks:22,2.9269
,45M, Num_Chunks:22,3.5065
,45M, Num_Chunks:22,3.1999
,45M, Num_Chunks:22,4.7441
,45M, Num_Chunks:22,3.4671
,45M, Num_Chunks:22,3.5122
,45M, Num_Chunks:22,4.8737
,45M, Num_Chunks:22,3.5685
,46M, Num_Chunks:22,8.3418
,46M, Num_Chunks:22,6.1961
,46M, Num_Chunks:22,6.3220
,46M, Num_Chunks:22,3.6301
,46M, Num_Chunks:22,7.4326
,46M, Num_Chunks:22,3.9605
,46M, Num_Chunks:22,3.1483
,46M, Num_Chunks:22,12.5813
,46M, Num_Chunks:22,3.3830
,46M, Num_Chunks:22,12.6324
,47M, Num_Chunks:21,15.3357
,47M, Num_Chunks:21,3.3240
,47M, Num_Chunks:21,7.0159
,47M, Num_Chunks:21,3.4778
,47M, Num_Chunks:21,3.1744
,47M, Num_Chunks:21,2.9638
,47M, Num_Chunks:21,3.1427
,47M, Num_Chunks:21,3.1320
,47M, Num_Chunks:21,3.4038
,47M, Num_Chunks:21,3.4400
,48M, Num_Chunks:21,3.1844
,48M, Num_Chunks:21,3.4115
,48M, Num_Chunks:21,3.2592
,48M, Num_Chunks:21,3.4785
,48M, Num_Chunks:21,4.0402
,48M, Num_Chunks:21,3.1782
,48M, Num_Chunks:21,4.0192
,48M, Num_Chunks:21,3.6624
,48M, Num_Chunks:21,3.3283
,48M, Num_Chunks:21,4.2171
,49M, Num_Chunks:20,2.9500
,49M, Num_Chunks:20,4.1463
,49M, Num_Chunks:20,4.6861
,49M, Num_Chunks:20,4.3682
,49M, Num_Chunks:20,3.4103
,49M, Num_Chunks:20,15.8268
,49M, Num_Chunks:20,3.0264
,49M, Num_Chunks:20,5.4411
,49M, Num_Chunks:20,3.3537
,49M, Num_Chunks:20,12.9262
,50M, Num_Chunks:20,3.6465
,50M, Num_Chunks:20,8.5701
,50M, Num_Chunks:20,3.1927
,50M, Num_Chunks:20,2.9437
,50M, Num_Chunks:20,14.9255
,50M, Num_Chunks:20,3.3381
,50M, Num_Chunks:20,3.7301
,50M, Num_Chunks:20,3.8071
,50M, Num_Chunks:20,3.9453
,50M, Num_Chunks:20,3.6984
,51M, Num_Chunks:20,5.0956
,51M, Num_Chunks:20,3.4010
,51M, Num_Chunks:20,3.7936
,51M, Num_Chunks:20,3.2312
,51M, Num_Chunks:20,8.9113
,51M, Num_Chunks:20,8.4912
,51M, Num_Chunks:20,3.4783
,51M, Num_Chunks:20,3.2041
,51M, Num_Chunks:20,3.5863
,51M, Num_Chunks:20,2.9762
,52M, Num_Chunks:19,3.2288
,52M, Num_Chunks:19,3.6324
,52M, Num_Chunks:19,3.2147
,52M, Num_Chunks:19,3.3073
,52M, Num_Chunks:19,3.4236
,52M, Num_Chunks:19,3.5705
,52M, Num_Chunks:19,3.7999
,52M, Num_Chunks:19,3.1082
,52M, Num_Chunks:19,15.9017
,52M, Num_Chunks:19,3.3309
,53M, Num_Chunks:19,3.8565
,53M, Num_Chunks:19,4.1946
,53M, Num_Chunks:19,4.8932
,53M, Num_Chunks:19,3.5227
,53M, Num_Chunks:19,8.7182
,53M, Num_Chunks:19,13.8171
,53M, Num_Chunks:19,3.1040
,53M, Num_Chunks:19,3.1665
,53M, Num_Chunks:19,15.2357
,53M, Num_Chunks:19,3.2846
,54M, Num_Chunks:18,4.0514
,54M, Num_Chunks:18,16.1653
,54M, Num_Chunks:18,10.3796
,54M, Num_Chunks:18,5.4838
,54M, Num_Chunks:18,3.3506
,54M, Num_Chunks:18,10.4738
,54M, Num_Chunks:18,3.8547
,54M, Num_Chunks:18,4.9119
,54M, Num_Chunks:18,3.6807
,54M, Num_Chunks:18,8.9219
,55M, Num_Chunks:18,3.4412
,55M, Num_Chunks:18,3.5551
,55M, Num_Chunks:18,3.4740
,55M, Num_Chunks:18,3.6214
,55M, Num_Chunks:18,4.3852
,55M, Num_Chunks:18,10.4698
,55M, Num_Chunks:18,4.7397
,55M, Num_Chunks:18,10.0098
,55M, Num_Chunks:18,3.0978
,55M, Num_Chunks:18,3.3221
,56M, Num_Chunks:18,3.3620
,56M, Num_Chunks:18,3.2060
,56M, Num_Chunks:18,3.3435
,56M, Num_Chunks:18,3.1219
,56M, Num_Chunks:18,4.9994
,56M, Num_Chunks:18,3.2707
,56M, Num_Chunks:18,13.9477
,56M, Num_Chunks:18,9.9980
,56M, Num_Chunks:18,15.2654
,56M, Num_Chunks:18,3.4143
,57M, Num_Chunks:17,3.4461
,57M, Num_Chunks:17,6.7930
,57M, Num_Chunks:17,3.7169
,57M, Num_Chunks:17,4.2048
,57M, Num_Chunks:17,3.1278
,57M, Num_Chunks:17,16.2814
,57M, Num_Chunks:17,3.1418
,57M, Num_Chunks:17,4.7022
,57M, Num_Chunks:17,4.1235
,57M, Num_Chunks:17,3.1766
,58M, Num_Chunks:17,4.6108
,58M, Num_Chunks:17,4.4548
,58M, Num_Chunks:17,3.5700
,58M, Num_Chunks:17,3.4626
,58M, Num_Chunks:17,6.7904
,58M, Num_Chunks:17,15.0550
,58M, Num_Chunks:17,3.5161
,58M, Num_Chunks:17,3.1383
,58M, Num_Chunks:17,3.3267
,58M, Num_Chunks:17,3.3220
,59M, Num_Chunks:17,3.4663
,59M, Num_Chunks:17,3.8270
,59M, Num_Chunks:17,3.6865
,59M, Num_Chunks:17,4.1443
,59M, Num_Chunks:17,3.2846
,59M, Num_Chunks:17,10.5795
,59M, Num_Chunks:17,11.3480
,59M, Num_Chunks:17,3.5718
,59M, Num_Chunks:17,3.3328
,59M, Num_Chunks:17,16.2320
,60M, Num_Chunks:17,3.9080
,60M, Num_Chunks:17,5.1418
,60M, Num_Chunks:17,3.4313
,60M, Num_Chunks:17,8.4585
,60M, Num_Chunks:17,4.3514
,60M, Num_Chunks:17,5.4768
,60M, Num_Chunks:17,3.2921
,60M, Num_Chunks:17,16.5419
,60M, Num_Chunks:17,3.7115
,60M, Num_Chunks:17,3.1718
,61M, Num_Chunks:16,16.7118
,61M, Num_Chunks:16,4.0989
,61M, Num_Chunks:16,6.3427
,61M, Num_Chunks:16,3.3476
,61M, Num_Chunks:16,3.3911
,61M, Num_Chunks:16,3.8317
,61M, Num_Chunks:16,3.3148
,61M, Num_Chunks:16,3.9382
,61M, Num_Chunks:16,3.3106
,61M, Num_Chunks:16,6.4422
,62M, Num_Chunks:16,3.3494
,62M, Num_Chunks:16,4.2076
,62M, Num_Chunks:16,3.8458
,62M, Num_Chunks:16,16.6822
,62M, Num_Chunks:16,3.3931
,62M, Num_Chunks:16,3.8483
,62M, Num_Chunks:16,3.5235
,62M, Num_Chunks:16,3.4283
,62M, Num_Chunks:16,4.1669
,62M, Num_Chunks:16,3.5722
,63M, Num_Chunks:16,4.6169
,63M, Num_Chunks:16,3.3178
,63M, Num_Chunks:16,3.6131
,63M, Num_Chunks:16,3.4439
,63M, Num_Chunks:16,3.2441
,63M, Num_Chunks:16,3.8538
,63M, Num_Chunks:16,3.5192
,63M, Num_Chunks:16,3.3102
,63M, Num_Chunks:16,3.7244
,63M, Num_Chunks:16,3.4127
,64M, Num_Chunks:16,3.4807
,64M, Num_Chunks:16,3.4950
,64M, Num_Chunks:16,5.2193
,64M, Num_Chunks:16,3.3169
,64M, Num_Chunks:16,3.2945
,64M, Num_Chunks:16,3.2808
,64M, Num_Chunks:16,3.4739
,64M, Num_Chunks:16,3.3540
,64M, Num_Chunks:16,10.5217
,64M, Num_Chunks:16,11.6518
,65M, Num_Chunks:15,5.4355
,65M, Num_Chunks:15,3.4911
,65M, Num_Chunks:15,3.3478
,65M, Num_Chunks:15,3.3655
,65M, Num_Chunks:15,3.4542
,65M, Num_Chunks:15,3.3154
,65M, Num_Chunks:15,4.3344
,65M, Num_Chunks:15,3.2804
,65M, Num_Chunks:15,3.1915
,65M, Num_Chunks:15,3.3428
,66M, Num_Chunks:15,3.2866
,66M, Num_Chunks:15,3.3081
,66M, Num_Chunks:15,3.3160
,66M, Num_Chunks:15,3.6366
,66M, Num_Chunks:15,4.9935
,66M, Num_Chunks:15,6.6767
,66M, Num_Chunks:15,3.6567
,66M, Num_Chunks:15,3.4092
,66M, Num_Chunks:15,5.4693
,66M, Num_Chunks:15,6.8708
,67M, Num_Chunks:15,3.4033
,67M, Num_Chunks:15,3.3436
,67M, Num_Chunks:15,3.7233
,67M, Num_Chunks:15,6.0282
,67M, Num_Chunks:15,3.4364
,67M, Num_Chunks:15,6.9278
,67M, Num_Chunks:15,3.6939
,67M, Num_Chunks:15,4.2733
,67M, Num_Chunks:15,3.4593
,67M, Num_Chunks:15,4.8608
,68M, Num_Chunks:15,4.1412
,68M, Num_Chunks:15,3.4184
,68M, Num_Chunks:15,3.9245
,68M, Num_Chunks:15,3.6731
,68M, Num_Chunks:15,3.4536
,68M, Num_Chunks:15,6.2496
,68M, Num_Chunks:15,16.4869
,68M, Num_Chunks:15,4.0529
,68M, Num_Chunks:15,14.4721
,68M, Num_Chunks:15,3.5182
,69M, Num_Chunks:14,8.3186
,69M, Num_Chunks:14,13.2413
,69M, Num_Chunks:14,3.7852
,69M, Num_Chunks:14,17.0836
,69M, Num_Chunks:14,5.1900
,69M, Num_Chunks:14,3.4684
,69M, Num_Chunks:14,13.1903
,69M, Num_Chunks:14,3.4301
,69M, Num_Chunks:14,3.5591
,69M, Num_Chunks:14,17.1802
,70M, Num_Chunks:14,3.9442
,70M, Num_Chunks:14,3.4797
,70M, Num_Chunks:14,3.4749
,70M, Num_Chunks:14,5.0346
,70M, Num_Chunks:14,17.0628
,70M, Num_Chunks:14,4.6557
,70M, Num_Chunks:14,8.0329
,70M, Num_Chunks:14,3.5695
,70M, Num_Chunks:14,5.6903
,70M, Num_Chunks:14,8.0861
,71M, Num_Chunks:14,3.3153
,71M, Num_Chunks:14,3.8982
,71M, Num_Chunks:14,3.4287
,71M, Num_Chunks:14,9.8448
,71M, Num_Chunks:14,3.8492
,71M, Num_Chunks:14,3.8071
,71M, Num_Chunks:14,3.7414
,71M, Num_Chunks:14,3.4592
,71M, Num_Chunks:14,3.3427
,71M, Num_Chunks:14,17.0400
,72M, Num_Chunks:14,3.5842
,72M, Num_Chunks:14,3.4185
,72M, Num_Chunks:14,4.2531
,72M, Num_Chunks:14,3.6337
,72M, Num_Chunks:14,3.5405
,72M, Num_Chunks:14,5.3220
,72M, Num_Chunks:14,6.3793
,72M, Num_Chunks:14,3.5514
,72M, Num_Chunks:14,4.3778
,72M, Num_Chunks:14,13.5829
,73M, Num_Chunks:14,11.7848
,73M, Num_Chunks:14,3.8395
,73M, Num_Chunks:14,4.1214
,73M, Num_Chunks:14,4.3555
,73M, Num_Chunks:14,3.4336
,73M, Num_Chunks:14,3.7378
,73M, Num_Chunks:14,5.9947
,73M, Num_Chunks:14,4.1910
,73M, Num_Chunks:14,3.9327
,73M, Num_Chunks:14,3.8407
,74M, Num_Chunks:13,3.7960
,74M, Num_Chunks:13,3.7022
