File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,1M, Num_Chunks:2048,6.2452
,1M, Num_Chunks:2048,6.6036
,1M, Num_Chunks:2048,6.3945
,1M, Num_Chunks:2048,6.3266
,1M, Num_Chunks:2048,6.3204
,1M, Num_Chunks:2048,5.8693
,1M, Num_Chunks:2048,5.9648
,1M, Num_Chunks:2048,5.9673
,1M, Num_Chunks:2048,6.3947
,1M, Num_Chunks:2048,6.3718
,2M, Num_Chunks:1024,5.7892
,2M, Num_Chunks:1024,5.6506
,2M, Num_Chunks:1024,5.5440
,2M, Num_Chunks:1024,5.5685
,2M, Num_Chunks:1024,5.6004
,2M, Num_Chunks:1024,5.7808
,2M, Num_Chunks:1024,6.3581
,2M, Num_Chunks:1024,5.3957
,2M, Num_Chunks:1024,5.6616
,2M, Num_Chunks:1024,5.8344
,3M, Num_Chunks:682,5.3797
,3M, Num_Chunks:682,5.7655
,3M, Num_Chunks:682,5.3950
,3M, Num_Chunks:682,6.0740
,3M, Num_Chunks:682,5.3029
,3M, Num_Chunks:682,5.6697
,3M, Num_Chunks:682,5.6248
,3M, Num_Chunks:682,5.5834
,3M, Num_Chunks:682,6.2196
,3M, Num_Chunks:682,5.6346
,4M, Num_Chunks:512,5.9804
,4M, Num_Chunks:512,5.9530
,4M, Num_Chunks:512,5.7539
,4M, Num_Chunks:512,5.7684
,4M, Num_Chunks:512,5.6220
,4M, Num_Chunks:512,5.8276
,4M, Num_Chunks:512,6.0928
,4M, Num_Chunks:512,5.2177
,4M, Num_Chunks:512,5.6098
,4M, Num_Chunks:512,5.8647
,5M, Num_Chunks:409,5.7469
,5M, Num_Chunks:409,6.3177
,5M, Num_Chunks:409,5.5523
,5M, Num_Chunks:409,5.8992
,5M, Num_Chunks:409,5.4868
,5M, Num_Chunks:409,5.9983
,5M, Num_Chunks:409,6.0536
,5M, Num_Chunks:409,5.3984
,5M, Num_Chunks:409,5.7817
,5M, Num_Chunks:409,5.7407
,6M, Num_Chunks:341,6.0313
,6M, Num_Chunks:341,5.9437
,6M, Num_Chunks:341,5.7108
,6M, Num_Chunks:341,5.8412
,6M, Num_Chunks:341,5.8416
,6M, Num_Chunks:341,5.3812
,6M, Num_Chunks:341,6.3265
,6M, Num_Chunks:341,5.5250
,6M, Num_Chunks:341,5.7321
,6M, Num_Chunks:341,5.8364
,7M, Num_Chunks:292,5.7002
,7M, Num_Chunks:292,5.8167
,7M, Num_Chunks:292,5.5952
,7M, Num_Chunks:292,6.3440
,7M, Num_Chunks:292,5.6399
,7M, Num_Chunks:292,5.5109
,7M, Num_Chunks:292,5.7951
,7M, Num_Chunks:292,5.6019
,7M, Num_Chunks:292,6.0413
,7M, Num_Chunks:292,5.6887
,8M, Num_Chunks:256,6.4500
,8M, Num_Chunks:256,5.6337
,8M, Num_Chunks:256,5.3326
,8M, Num_Chunks:256,6.1562
,8M, Num_Chunks:256,5.7420
,8M, Num_Chunks:256,6.0410
,8M, Num_Chunks:256,6.1204
,8M, Num_Chunks:256,5.5435
,8M, Num_Chunks:256,5.9028
,8M, Num_Chunks:256,6.1515
,9M, Num_Chunks:227,5.6655
,9M, Num_Chunks:227,5.7812
,9M, Num_Chunks:227,5.7801
,9M, Num_Chunks:227,6.1690
,9M, Num_Chunks:227,5.8070
,9M, Num_Chunks:227,5.8058
,9M, Num_Chunks:227,5.6679
,9M, Num_Chunks:227,5.5684
,9M, Num_Chunks:227,6.1010
,9M, Num_Chunks:227,5.9766
,10M, Num_Chunks:204,6.4377
,10M, Num_Chunks:204,6.4074
,10M, Num_Chunks:204,5.3405
,10M, Num_Chunks:204,6.0246
,10M, Num_Chunks:204,5.7494
,10M, Num_Chunks:204,5.6331
,10M, Num_Chunks:204,6.0073
,10M, Num_Chunks:204,5.2424
,10M, Num_Chunks:204,5.9147
,10M, Num_Chunks:204,5.9504
,11M, Num_Chunks:186,5.3000
,11M, Num_Chunks:186,6.7908
,11M, Num_Chunks:186,5.7291
,11M, Num_Chunks:186,6.1115
,11M, Num_Chunks:186,7.3107
,11M, Num_Chunks:186,6.0676
,11M, Num_Chunks:186,5.5840
,11M, Num_Chunks:186,6.6363
,11M, Num_Chunks:186,5.9926
,11M, Num_Chunks:186,5.6387
,12M, Num_Chunks:170,6.8661
,12M, Num_Chunks:170,6.3749
,12M, Num_Chunks:170,6.3666
,12M, Num_Chunks:170,5.8204
,12M, Num_Chunks:170,6.2579
,12M, Num_Chunks:170,5.6859
,12M, Num_Chunks:170,6.4705
,12M, Num_Chunks:170,7.0623
,12M, Num_Chunks:170,6.4462
,12M, Num_Chunks:170,5.5711
,13M, Num_Chunks:157,5.8724
,13M, Num_Chunks:157,7.6356
,13M, Num_Chunks:157,6.5242
,13M, Num_Chunks:157,6.1579
,13M, Num_Chunks:157,6.7856
,13M, Num_Chunks:157,5.9969
,13M, Num_Chunks:157,6.6787
,13M, Num_Chunks:157,6.2167
,13M, Num_Chunks:157,8.1548
,13M, Num_Chunks:157,8.1035
,14M, Num_Chunks:146,5.0562
,14M, Num_Chunks:146,6.0554
,14M, Num_Chunks:146,5.8348
,14M, Num_Chunks:146,5.6888
,14M, Num_Chunks:146,6.2736
,14M, Num_Chunks:146,5.7089
,14M, Num_Chunks:146,7.1951
,14M, Num_Chunks:146,6.1994
,14M, Num_Chunks:146,5.7306
,14M, Num_Chunks:146,5.9786
,15M, Num_Chunks:136,8.1147
,15M, Num_Chunks:136,11.7924
,15M, Num_Chunks:136,5.9064
,15M, Num_Chunks:136,6.5016
,15M, Num_Chunks:136,5.4527
,15M, Num_Chunks:136,5.6911
,15M, Num_Chunks:136,6.2605
