File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,15M, Num_Chunks:136,6.9496
,15M, Num_Chunks:136,5.6646
,15M, Num_Chunks:136,5.5947
,16M, Num_Chunks:128,5.5002
,16M, Num_Chunks:128,7.2920
,16M, Num_Chunks:128,5.4683
,16M, Num_Chunks:128,6.9176
,16M, Num_Chunks:128,6.0614
,16M, Num_Chunks:128,6.3660
,16M, Num_Chunks:128,5.9690
,16M, Num_Chunks:128,5.7310
,16M, Num_Chunks:128,5.4764
,16M, Num_Chunks:128,5.5442
,17M, Num_Chunks:120,5.7897
,17M, Num_Chunks:120,8.2186
,17M, Num_Chunks:120,6.1549
,17M, Num_Chunks:120,6.8143
,17M, Num_Chunks:120,6.0539
,17M, Num_Chunks:120,5.5994
,17M, Num_Chunks:120,6.1259
,17M, Num_Chunks:120,5.9511
,17M, Num_Chunks:120,5.8476
,17M, Num_Chunks:120,6.0160
,18M, Num_Chunks:113,7.6836
,18M, Num_Chunks:113,7.0235
,18M, Num_Chunks:113,9.7260
,18M, Num_Chunks:113,6.6058
,18M, Num_Chunks:113,6.3579
,18M, Num_Chunks:113,5.6819
,18M, Num_Chunks:113,5.9213
,18M, Num_Chunks:113,5.6984
,18M, Num_Chunks:113,6.0709
,18M, Num_Chunks:113,6.2748
,19M, Num_Chunks:107,5.9747
,19M, Num_Chunks:107,5.9657
,19M, Num_Chunks:107,13.5654
,19M, Num_Chunks:107,6.1757
,19M, Num_Chunks:107,5.7298
,19M, Num_Chunks:107,6.3304
,19M, Num_Chunks:107,8.0228
,19M, Num_Chunks:107,5.4474
,19M, Num_Chunks:107,5.7518
,19M, Num_Chunks:107,6.4258
,20M, Num_Chunks:102,6.4692
,20M, Num_Chunks:102,5.7751
,20M, Num_Chunks:102,5.6509
,20M, Num_Chunks:102,5.6846
,20M, Num_Chunks:102,5.7903
,20M, Num_Chunks:102,6.0963
,20M, Num_Chunks:102,5.7318
,20M, Num_Chunks:102,6.2083
,20M, Num_Chunks:102,6.0957
,20M, Num_Chunks:102,6.2991
,21M, Num_Chunks:97,7.0907
,21M, Num_Chunks:97,6.6977
,21M, Num_Chunks:97,5.5693
,21M, Num_Chunks:97,6.2060
,21M, Num_Chunks:97,5.7082
,21M, Num_Chunks:97,6.0305
,21M, Num_Chunks:97,6.2620
,21M, Num_Chunks:97,6.4316
,21M, Num_Chunks:97,6.4115
,21M, Num_Chunks:97,9.1878
,22M, Num_Chunks:93,6.3236
,22M, Num_Chunks:93,6.1522
,22M, Num_Chunks:93,6.1243
,22M, Num_Chunks:93,6.0644
,22M, Num_Chunks:93,5.8103
,22M, Num_Chunks:93,5.7952
,22M, Num_Chunks:93,5.6922
,22M, Num_Chunks:93,5.8526
,22M, Num_Chunks:93,6.8507
,22M, Num_Chunks:93,7.6283
,23M, Num_Chunks:89,5.8207
,23M, Num_Chunks:89,5.8246
,23M, Num_Chunks:89,6.1045
,23M, Num_Chunks:89,5.7212
,23M, Num_Chunks:89,13.0471
,23M, Num_Chunks:89,5.8307
,23M, Num_Chunks:89,6.4116
,23M, Num_Chunks:89,6.6646
,23M, Num_Chunks:89,5.6305
,23M, Num_Chunks:89,6.0379
,24M, Num_Chunks:85,6.0852
,24M, Num_Chunks:85,5.9579
,24M, Num_Chunks:85,6.3153
,24M, Num_Chunks:85,6.7963
,24M, Num_Chunks:85,7.4198
,24M, Num_Chunks:85,6.8519
,24M, Num_Chunks:85,14.9915
,24M, Num_Chunks:85,6.3212
,24M, Num_Chunks:85,6.3069
,24M, Num_Chunks:85,7.1778
,25M, Num_Chunks:81,5.8935
,25M, Num_Chunks:81,6.4787
,25M, Num_Chunks:81,8.6562
,25M, Num_Chunks:81,6.1234
,25M, Num_Chunks:81,5.9326
,25M, Num_Chunks:81,5.4247
,25M, Num_Chunks:81,8.7069
,25M, Num_Chunks:81,6.5366
,25M, Num_Chunks:81,5.6769
,25M, Num_Chunks:81,6.3745
,26M, Num_Chunks:78,5.9985
,26M, Num_Chunks:78,7.7470
,26M, Num_Chunks:78,5.5352
,26M, Num_Chunks:78,5.6206
,26M, Num_Chunks:78,6.2675
,26M, Num_Chunks:78,6.6775
,26M, Num_Chunks:78,9.3067
,26M, Num_Chunks:78,8.3689
,26M, Num_Chunks:78,5.9825
,26M, Num_Chunks:78,6.4490
,27M, Num_Chunks:75,5.9185
,27M, Num_Chunks:75,15.4018
,27M, Num_Chunks:75,6.1742
,27M, Num_Chunks:75,5.7606
,27M, Num_Chunks:75,7.2654
,27M, Num_Chunks:75,7.0890
,27M, Num_Chunks:75,6.1848
,27M, Num_Chunks:75,9.8356
,27M, Num_Chunks:75,10.0515
,27M, Num_Chunks:75,5.9309
,28M, Num_Chunks:73,5.8650
,28M, Num_Chunks:73,6.5769
,28M, Num_Chunks:73,5.9393
,28M, Num_Chunks:73,6.0359
,28M, Num_Chunks:73,6.3926
,28M, Num_Chunks:73,6.1594
,28M, Num_Chunks:73,5.8636
,28M, Num_Chunks:73,6.0497
,28M, Num_Chunks:73,6.2072
,28M, Num_Chunks:73,15.0917
,29M, Num_Chunks:70,7.0243
,29M, Num_Chunks:70,7.9478
,29M, Num_Chunks:70,5.7315
,29M, Num_Chunks:70,5.7133
,29M, Num_Chunks:70,5.6000
,29M, Num_Chunks:70,10.3659
,29M, Num_Chunks:70,5.8185
,29M, Num_Chunks:70,6.0083
,29M, Num_Chunks:70,6.9788
,29M, Num_Chunks:70,6.5421
,30M, Num_Chunks:68,6.1344
,30M, Num_Chunks:68,5.9537
,30M, Num_Chunks:68,5.8846
,30M, Num_Chunks:68,6.8577
,30M, Num_Chunks:68,6.4178
,30M, Num_Chunks:68,9.0553
,30M, Num_Chunks:68,6.0974
,30M, Num_Chunks:68,5.8746
,30M, Num_Chunks:68,5.5963
,30M, Num_Chunks:68,6.2190
,31M, Num_Chunks:66,8.8008
,31M, Num_Chunks:66,7.2432
,31M, Num_Chunks:66,5.1416
,31M, Num_Chunks:66,5.5926
,31M, Num_Chunks:66,6.3701
,31M, Num_Chunks:66,6.6370
,31M, Num_Chunks:66,6.7506
,31M, Num_Chunks:66,7.8873
,31M, Num_Chunks:66,6.8304
,31M, Num_Chunks:66,6.2809
,32M, Num_Chunks:64,6.0769
,32M, Num_Chunks:64,5.7755
,32M, Num_Chunks:64,6.3865
,32M, Num_Chunks:64,6.3326
,32M, Num_Chunks:64,6.6962
,32M, Num_Chunks:64,6.2298
,32M, Num_Chunks:64,7.1126
,32M, Num_Chunks:64,5.4095
,32M, Num_Chunks:64,5.8732
,32M, Num_Chunks:64,6.1829
,33M, Num_Chunks:62,5.8723
,33M, Num_Chunks:62,6.1556
,33M, Num_Chunks:62,6.3433
,33M, Num_Chunks:62,5.8127
,33M, Num_Chunks:62,7.4940
,33M, Num_Chunks:62,6.3886
,33M, Num_Chunks:62,5.6252
,33M, Num_Chunks:62,6.6206
,33M, Num_Chunks:62,5.2493
,33M, Num_Chunks:62,5.4683
,34M, Num_Chunks:60,6.6637
,34M, Num_Chunks:60,5.8843
,34M, Num_Chunks:60,11.7843
,34M, Num_Chunks:60,9.2132
,34M, Num_Chunks:60,10.8555
,34M, Num_Chunks:60,6.0749
,34M, Num_Chunks:60,9.2772
,34M, Num_Chunks:60,5.5814
,34M, Num_Chunks:60,5.9361
,34M, Num_Chunks:60,6.6520
,35M, Num_Chunks:58,5.5499
,35M, Num_Chunks:58,6.2746
,35M, Num_Chunks:58,5.6359
,35M, Num_Chunks:58,6.8357
,35M, Num_Chunks:58,7.8471
,35M, Num_Chunks:58,6.1396
,35M, Num_Chunks:58,6.1918
,35M, Num_Chunks:58,5.8051
,35M, Num_Chunks:58,6.6580
,35M, Num_Chunks:58,6.0575
,36M, Num_Chunks:56,6.7274
,36M, Num_Chunks:56,6.4213
,36M, Num_Chunks:56,6.7619
,36M, Num_Chunks:56,6.1971
,36M, Num_Chunks:56,6.3902
,36M, Num_Chunks:56,5.4681
,36M, Num_Chunks:56,7.0541
,36M, Num_Chunks:56,6.3249
,36M, Num_Chunks:56,6.4720
,36M, Num_Chunks:56,6.4440
,37M, Num_Chunks:55,16.2105
,37M, Num_Chunks:55,6.5557
,37M, Num_Chunks:55,5.5815
,37M, Num_Chunks:55,7.0096
,37M, Num_Chunks:55,6.0310
,37M, Num_Chunks:55,6.3738
,37M, Num_Chunks:55,7.4924
,37M, Num_Chunks:55,7.1820
,37M, Num_Chunks:55,6.3019
,37M, Num_Chunks:55,6.4216
,38M, Num_Chunks:53,6.8735
,38M, Num_Chunks:53,5.9197
,38M, Num_Chunks:53,6.1125
,38M, Num_Chunks:53,7.8502
,38M, Num_Chunks:53,16.5940
,38M, Num_Chunks:53,6.0458
,38M, Num_Chunks:53,6.2856
,38M, Num_Chunks:53,5.3804
,38M, Num_Chunks:53,11.0250
,38M, Num_Chunks:53,6.1325
,39M, Num_Chunks:52,7.4851
,39M, Num_Chunks:52,6.0983
,39M, Num_Chunks:52,5.9947
,39M, Num_Chunks:52,5.7886
,39M, Num_Chunks:52,6.0916
,39M, Num_Chunks:52,5.6940
,39M, Num_Chunks:52,6.4546
,39M, Num_Chunks:52,7.1185
,39M, Num_Chunks:52,5.5762
,39M, Num_Chunks:52,6.2687
,40M, Num_Chunks:51,5.8681
,40M, Num_Chunks:51,10.6214
,40M, Num_Chunks:51,10.1828
,40M, Num_Chunks:51,6.3133
,40M, Num_Chunks:51,6.3026
,40M, Num_Chunks:51,6.5193
,40M, Num_Chunks:51,6.7192
,40M, Num_Chunks:51,5.7355
,40M, Num_Chunks:51,6.1624
,40M, Num_Chunks:51,6.3146
,41M, Num_Chunks:49,6.7804
,41M, Num_Chunks:49,6.3378
,41M, Num_Chunks:49,5.7115
,41M, Num_Chunks:49,5.8257
,41M, Num_Chunks:49,10.8837
,41M, Num_Chunks:49,5.4105
,41M, Num_Chunks:49,5.8684
,41M, Num_Chunks:49,6.2567
,41M, Num_Chunks:49,5.6373
,41M, Num_Chunks:49,17.2375
,42M, Num_Chunks:48,6.0457
,42M, Num_Chunks:48,6.6911
,42M, Num_Chunks:48,5.7136
,42M, Num_Chunks:48,7.4177
,42M, Num_Chunks:48,6.2555
,42M, Num_Chunks:48,5.9965
,42M, Num_Chunks:48,5.9339
,42M, Num_Chunks:48,6.4567
,42M, Num_Chunks:48,11.8010
,42M, Num_Chunks:48,16.3575
,43M, Num_Chunks:47,6.9784
,43M, Num_Chunks:47,6.6444
,43M, Num_Chunks:47,6.0010
,43M, Num_Chunks:47,6.9485
,43M, Num_Chunks:47,6.3483
,43M, Num_Chunks:47,6.5191
,43M, Num_Chunks:47,6.8725
,43M, Num_Chunks:47,6.7508
,43M, Num_Chunks:47,5.5639
,43M, Num_Chunks:47,5.9097
,44M, Num_Chunks:46,16.7506
,44M, Num_Chunks:46,6.2233
,44M, Num_Chunks:46,5.9191
,44M, Num_Chunks:46,6.9168
,44M, Num_Chunks:46,6.4687
,44M, Num_Chunks:46,6.3339
,44M, Num_Chunks:46,6.2103
,44M, Num_Chunks:46,6.9066
,44M, Num_Chunks:46,5.9985
,44M, Num_Chunks:46,5.8823
,45M, Num_Chunks:45,5.9243
,45M, Num_Chunks:45,6.5490
,45M, Num_Chunks:45,5.7027
,45M, Num_Chunks:45,5.9596
,45M, Num_Chunks:45,6.6254
,45M, Num_Chunks:45,6.0545
,45M, Num_Chunks:45,6.3551
,45M, Num_Chunks:45,6.4435
,45M, Num_Chunks:45,11.7005
,45M, Num_Chunks:45,7.4528
,46M, Num_Chunks:44,7.5530
,46M, Num_Chunks:44,6.7694
,46M, Num_Chunks:44,6.1091
,46M, Num_Chunks:44,6.0661
,46M, Num_Chunks:44,6.5807
,46M, Num_Chunks:44,5.6057
,46M, Num_Chunks:44,5.6240
,46M, Num_Chunks:44,15.1829
,46M, Num_Chunks:44,5.6471
,46M, Num_Chunks:44,6.2416
,47M, Num_Chunks:43,5.3401
,47M, Num_Chunks:43,6.6107
,47M, Num_Chunks:43,15.8480
,47M, Num_Chunks:43,6.3457
,47M, Num_Chunks:43,16.6436
,47M, Num_Chunks:43,6.0471
,47M, Num_Chunks:43,6.0418
,47M, Num_Chunks:43,6.2839
,47M, Num_Chunks:43,7.8079
,47M, Num_Chunks:43,8.0417
,48M, Num_Chunks:42,6.3239
,48M, Num_Chunks:42,6.8388
,48M, Num_Chunks:42,5.8460
,48M, Num_Chunks:42,6.5315
,48M, Num_Chunks:42,13.4837
,48M, Num_Chunks:42,6.5831
,48M, Num_Chunks:42,6.3747
,48M, Num_Chunks:42,5.7863
,48M, Num_Chunks:42,5.9547
,48M, Num_Chunks:42,5.8529
,49M, Num_Chunks:41,17.3821
,49M, Num_Chunks:41,6.3750
,49M, Num_Chunks:41,6.0536
,49M, Num_Chunks:41,6.0544
,49M, Num_Chunks:41,10.6279
,49M, Num_Chunks:41,5.9809
,49M, Num_Chunks:41,6.1987
,49M, Num_Chunks:41,7.7500
,49M, Num_Chunks:41,7.2770
,49M, Num_Chunks:41,7.0391
,50M, Num_Chunks:40,6.4659
,50M, Num_Chunks:40,5.9957
,50M, Num_Chunks:40,6.7678
,50M, Num_Chunks:40,5.9048
,50M, Num_Chunks:40,8.5255
,50M, Num_Chunks:40,10.3976
,50M, Num_Chunks:40,6.0980
,50M, Num_Chunks:40,6.2916
,50M, Num_Chunks:40,7.0386
,50M, Num_Chunks:40,5.5022
,51M, Num_Chunks:40,6.1783
,51M, Num_Chunks:40,6.3440
,51M, Num_Chunks:40,5.8110
,51M, Num_Chunks:40,6.3706
,51M, Num_Chunks:40,6.9461
,51M, Num_Chunks:40,7.9629
,51M, Num_Chunks:40,6.8989
,51M, Num_Chunks:40,6.0284
,51M, Num_Chunks:40,14.2401
,51M, Num_Chunks:40,6.5378
,52M, Num_Chunks:39,7.6188
,52M, Num_Chunks:39,8.7729
,52M, Num_Chunks:39,6.7607
,52M, Num_Chunks:39,6.6818
,52M, Num_Chunks:39,6.5662
,52M, Num_Chunks:39,6.6484
,52M, Num_Chunks:39,6.6638
,52M, Num_Chunks:39,7.5887
,52M, Num_Chunks:39,6.7663
,52M, Num_Chunks:39,6.4130
,53M, Num_Chunks:38,7.5382
,53M, Num_Chunks:38,6.8605
,53M, Num_Chunks:38,5.7042
,53M, Num_Chunks:38,5.6802
,53M, Num_Chunks:38,6.7734
,53M, Num_Chunks:38,7.1765
,53M, Num_Chunks:38,6.6277
,53M, Num_Chunks:38,7.9034
,53M, Num_Chunks:38,6.1231
,53M, Num_Chunks:38,16.9942
,54M, Num_Chunks:37,6.1919
,54M, Num_Chunks:37,5.7746
,54M, Num_Chunks:37,6.4740
,54M, Num_Chunks:37,14.7252
,54M, Num_Chunks:37,7.4869
,54M, Num_Chunks:37,6.8128
,54M, Num_Chunks:37,7.5069
,54M, Num_Chunks:37,6.6189
,54M, Num_Chunks:37,6.4740
,54M, Num_Chunks:37,6.1920
,55M, Num_Chunks:37,7.5471
,55M, Num_Chunks:37,6.8590
,55M, Num_Chunks:37,6.0911
,55M, Num_Chunks:37,6.0982
,55M, Num_Chunks:37,17.9476
,55M, Num_Chunks:37,6.4520
,55M, Num_Chunks:37,5.7414
,55M, Num_Chunks:37,7.6288
,55M, Num_Chunks:37,5.8125
,55M, Num_Chunks:37,6.4241
,56M, Num_Chunks:36,6.4172
,56M, Num_Chunks:36,6.2946
,56M, Num_Chunks:36,6.5039
,56M, Num_Chunks:36,7.1556
,56M, Num_Chunks:36,9.0518
,56M, Num_Chunks:36,6.3787
,56M, Num_Chunks:36,7.0423
,56M, Num_Chunks:36,6.2989
,56M, Num_Chunks:36,6.9331
,56M, Num_Chunks:36,8.1522
,57M, Num_Chunks:35,6.7932
,57M, Num_Chunks:35,9.9490
,57M, Num_Chunks:35,5.6203
,57M, Num_Chunks:35,6.7135
,57M, Num_Chunks:35,15.9844
,57M, Num_Chunks:35,10.0195
,57M, Num_Chunks:35,6.0908
,57M, Num_Chunks:35,6.8772
,57M, Num_Chunks:35,6.1500
,57M, Num_Chunks:35,6.5866
,58M, Num_Chunks:35,14.2564
,58M, Num_Chunks:35,6.2722
,58M, Num_Chunks:35,7.1212
,58M, Num_Chunks:35,7.3916
,58M, Num_Chunks:35,6.6527
,58M, Num_Chunks:35,17.5297
,58M, Num_Chunks:35,6.2731
,58M, Num_Chunks:35,7.8232
,58M, Num_Chunks:35,8.5403
,58M, Num_Chunks:35,8.4928
,59M, Num_Chunks:34,6.6693
,59M, Num_Chunks:34,6.0581
,59M, Num_Chunks:34,6.3364
,59M, Num_Chunks:34,17.1677
,59M, Num_Chunks:34,6.7381
,59M, Num_Chunks:34,17.7893
,59M, Num_Chunks:34,6.6936
,59M, Num_Chunks:34,6.2103
,59M, Num_Chunks:34,6.1462
,59M, Num_Chunks:34,6.3056
,60M, Num_Chunks:34,17.5609
,60M, Num_Chunks:34,8.5248
,60M, Num_Chunks:34,6.1902
,60M, Num_Chunks:34,7.5500
,60M, Num_Chunks:34,6.8453
,60M, Num_Chunks:34,6.3136
,60M, Num_Chunks:34,18.9141
,60M, Num_Chunks:34,13.8281
,60M, Num_Chunks:34,5.9982
,60M, Num_Chunks:34,8.1059
,61M, Num_Chunks:33,6.3003
,61M, Num_Chunks:33,7.5160
,61M, Num_Chunks:33,6.7111
,61M, Num_Chunks:33,6.8201
,61M, Num_Chunks:33,13.9073
,61M, Num_Chunks:33,12.7839
,61M, Num_Chunks:33,6.5506
,61M, Num_Chunks:33,17.6526
,61M, Num_Chunks:33,6.5647
,61M, Num_Chunks:33,7.2665
,62M, Num_Chunks:33,6.3765
,62M, Num_Chunks:33,7.1886
,62M, Num_Chunks:33,6.4820
,62M, Num_Chunks:33,6.9162
,62M, Num_Chunks:33,12.9381
,62M, Num_Chunks:33,7.4760
,62M, Num_Chunks:33,6.2113
,62M, Num_Chunks:33,5.7608
,62M, Num_Chunks:33,6.8562
,62M, Num_Chunks:33,8.2870
,63M, Num_Chunks:32,6.1407
,63M, Num_Chunks:32,8.9408
,63M, Num_Chunks:32,6.8849
,63M, Num_Chunks:32,7.2820
,63M, Num_Chunks:32,18.0297
,63M, Num_Chunks:32,7.3558
,63M, Num_Chunks:32,6.4905
,63M, Num_Chunks:32,15.3679
,63M, Num_Chunks:32,14.7335
,63M, Num_Chunks:32,7.7573
,64M, Num_Chunks:32,15.0498
,64M, Num_Chunks:32,7.2520
,64M, Num_Chunks:32,6.1859
,64M, Num_Chunks:32,9.7249
,64M, Num_Chunks:32,6.2139
,64M, Num_Chunks:32,7.2997
,64M, Num_Chunks:32,7.4757
,64M, Num_Chunks:32,6.2199
,64M, Num_Chunks:32,6.5237
,64M, Num_Chunks:32,13.8179
,65M, Num_Chunks:31,6.4915
,65M, Num_Chunks:31,8.9424
,65M, Num_Chunks:31,5.9785
,65M, Num_Chunks:31,13.5887
,65M, Num_Chunks:31,6.9452
,65M, Num_Chunks:31,6.3850
,65M, Num_Chunks:31,13.3639
,65M, Num_Chunks:31,6.7153
,65M, Num_Chunks:31,7.5741
,65M, Num_Chunks:31,7.4149
,66M, Num_Chunks:31,6.5361
,66M, Num_Chunks:31,7.7912
,66M, Num_Chunks:31,5.8853
,66M, Num_Chunks:31,6.3545
,66M, Num_Chunks:31,7.5118
,66M, Num_Chunks:31,7.6468
,66M, Num_Chunks:31,7.7666
,66M, Num_Chunks:31,6.2834
,66M, Num_Chunks:31,6.8894
,66M, Num_Chunks:31,6.5291
,67M, Num_Chunks:30,8.3466
,67M, Num_Chunks:30,19.1580
,67M, Num_Chunks:30,6.8962
,67M, Num_Chunks:30,7.4720
,67M, Num_Chunks:30,6.2580
,67M, Num_Chunks:30,6.4806
,67M, Num_Chunks:30,7.1951
,67M, Num_Chunks:30,6.0955
,67M, Num_Chunks:30,10.6371
,67M, Num_Chunks:30,7.2395
,68M, Num_Chunks:30,6.7399
,68M, Num_Chunks:30,7.3534
,68M, Num_Chunks:30,6.9627
,68M, Num_Chunks:30,6.7031
,68M, Num_Chunks:30,7.2694
,68M, Num_Chunks:30,6.5902
,68M, Num_Chunks:30,6.8189
,68M, Num_Chunks:30,6.3230
,68M, Num_Chunks:30,7.0905
,68M, Num_Chunks:30,6.7036
,69M, Num_Chunks:29,6.5332
,69M, Num_Chunks:29,7.1146
,69M, Num_Chunks:29,7.2351
,69M, Num_Chunks:29,6.9792
,69M, Num_Chunks:29,14.9226
,69M, Num_Chunks:29,6.7349
,69M, Num_Chunks:29,5.5620
,69M, Num_Chunks:29,6.7541
,69M, Num_Chunks:29,7.1465
,69M, Num_Chunks:29,11.2630
,70M, Num_Chunks:29,7.6183
,70M, Num_Chunks:29,7.6319
,70M, Num_Chunks:29,6.4233
,70M, Num_Chunks:29,6.5758
,70M, Num_Chunks:29,6.7066
,70M, Num_Chunks:29,9.6748
,70M, Num_Chunks:29,19.0739
,70M, Num_Chunks:29,7.3574
,70M, Num_Chunks:29,11.2097
,70M, Num_Chunks:29,18.5186
,71M, Num_Chunks:28,6.2027
,71M, Num_Chunks:28,7.8346
,71M, Num_Chunks:28,6.8073
,71M, Num_Chunks:28,7.3097
,71M, Num_Chunks:28,19.4386
,71M, Num_Chunks:28,7.2561
,71M, Num_Chunks:28,15.9498
,71M, Num_Chunks:28,6.9175
,71M, Num_Chunks:28,6.7586
,71M, Num_Chunks:28,6.6900
,72M, Num_Chunks:28,7.0596
,72M, Num_Chunks:28,7.0286
,72M, Num_Chunks:28,6.7590
,72M, Num_Chunks:28,7.9003
,72M, Num_Chunks:28,6.8683
,72M, Num_Chunks:28,6.8555
,72M, Num_Chunks:28,8.6217
,72M, Num_Chunks:28,6.7662
,72M, Num_Chunks:28,9.9944
,72M, Num_Chunks:28,6.8071
,73M, Num_Chunks:28,6.1077
,73M, Num_Chunks:28,6.6087
,73M, Num_Chunks:28,7.4296
,73M, Num_Chunks:28,5.6395
,73M, Num_Chunks:28,7.3662
,73M, Num_Chunks:28,6.6670
,73M, Num_Chunks:28,8.2797
,73M, Num_Chunks:28,15.1229
,73M, Num_Chunks:28,8.3526
,73M, Num_Chunks:28,6.4958
,74M, Num_Chunks:27,6.4576
,74M, Num_Chunks:27,7.5482
