File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,492M, Num_Chunks:8,32.5444
,467M, Num_Chunks:8,40.2725
,492M, Num_Chunks:8,36.4328
,467M, Num_Chunks:8,35.5754
,492M, Num_Chunks:8,30.1769
,468M, Num_Chunks:8,23.8442
,468M, Num_Chunks:8,35.3286
,493M, Num_Chunks:8,35.3410
,468M, Num_Chunks:8,30.7255
,493M, Num_Chunks:8,30.7205
,468M, Num_Chunks:8,27.1800
,493M, Num_Chunks:8,37.3741
,493M, Num_Chunks:8,26.0350
,468M, Num_Chunks:8,42.1824
,468M, Num_Chunks:8,27.0335
,493M, Num_Chunks:8,32.9871
,493M, Num_Chunks:8,28.1316
,468M, Num_Chunks:8,40.2937
,493M, Num_Chunks:8,30.0776
,468M, Num_Chunks:8,25.2533
,493M, Num_Chunks:8,27.5173
,468M, Num_Chunks:8,26.4073
,468M, Num_Chunks:8,26.0339
,493M, Num_Chunks:8,32.2754
,493M, Num_Chunks:8,34.1724
,469M, Num_Chunks:8,44.0350
,494M, Num_Chunks:8,31.0501
,469M, Num_Chunks:8,27.8598
,494M, Num_Chunks:8,28.8344
,469M, Num_Chunks:8,28.4532
,469M, Num_Chunks:8,24.4433
,494M, Num_Chunks:8,36.6521
,469M, Num_Chunks:8,26.0575
,494M, Num_Chunks:8,26.5848
,494M, Num_Chunks:8,25.4925
,469M, Num_Chunks:8,31.9879
,469M, Num_Chunks:8,28.5051
,494M, Num_Chunks:8,40.1544
,469M, Num_Chunks:8,29.5952
,494M, Num_Chunks:8,32.9900
,469M, Num_Chunks:8,33.3724
,494M, Num_Chunks:8,26.7835
,494M, Num_Chunks:8,28.4186
,469M, Num_Chunks:8,36.8809
,470M, Num_Chunks:8,28.7584
,494M, Num_Chunks:8,36.9939
,470M, Num_Chunks:8,30.1522
,495M, Num_Chunks:8,29.8314
,470M, Num_Chunks:8,28.0797
,495M, Num_Chunks:8,26.1986
,470M, Num_Chunks:8,28.4485
,495M, Num_Chunks:8,44.3354
,495M, Num_Chunks:8,26.9216
,470M, Num_Chunks:8,48.8299
,495M, Num_Chunks:8,26.4847
,470M, Num_Chunks:8,41.2181
,495M, Num_Chunks:8,27.7382
,470M, Num_Chunks:8,32.1429
,495M, Num_Chunks:8,26.4518
,495M, Num_Chunks:8,22.7116
,470M, Num_Chunks:8,32.2681
,470M, Num_Chunks:8,25.2876
,495M, Num_Chunks:8,29.1649
,495M, Num_Chunks:8,35.3245
,470M, Num_Chunks:8,36.9752
,496M, Num_Chunks:8,34.6968
,471M, Num_Chunks:8,40.9013
,471M, Num_Chunks:8,30.2734
,496M, Num_Chunks:8,36.5101
,496M, Num_Chunks:8,34.3708
,471M, Num_Chunks:8,34.4157
,496M, Num_Chunks:8,29.2337
,471M, Num_Chunks:8,36.8064
