File Name,Chunk Size (MB),Number of Chunks,Run Time (Seconds)
,439M, Num_Chunks:9,23.5057
,465M, Num_Chunks:8,39.5024
,439M, Num_Chunks:9,31.5623
,465M, Num_Chunks:8,28.4367
,439M, Num_Chunks:9,33.7268
,465M, Num_Chunks:8,28.8162
,439M, Num_Chunks:9,30.6616
,465M, Num_Chunks:8,34.6366
,439M, Num_Chunks:9,30.5440
,465M, Num_Chunks:8,35.7244
,439M, Num_Chunks:9,22.6327
,465M, Num_Chunks:8,25.9837
,439M, Num_Chunks:9,30.1879
,465M, Num_Chunks:8,25.0764
,465M, Num_Chunks:8,25.1965
,439M, Num_Chunks:9,34.6138
,465M, Num_Chunks:8,27.7546
,440M, Num_Chunks:9,27.7701
,440M, Num_Chunks:9,37.2058
,465M, Num_Chunks:8,37.2677
,440M, Num_Chunks:9,34.5202
,466M, Num_Chunks:8,34.4972
,440M, Num_Chunks:9,31.3549
,466M, Num_Chunks:8,33.3826
,466M, Num_Chunks:8,28.7910
,440M, Num_Chunks:9,30.8265
,466M, Num_Chunks:8,32.9637
,440M, Num_Chunks:9,32.9626
,466M, Num_Chunks:8,28.3971
,440M, Num_Chunks:9,38.8706
,440M, Num_Chunks:9,24.9593
,466M, Num_Chunks:8,35.4481
,440M, Num_Chunks:9,25.5187
,466M, Num_Chunks:8,32.4732
,440M, Num_Chunks:9,33.9174
,466M, Num_Chunks:8,26.9679
,466M, Num_Chunks:8,23.9193
,441M, Num_Chunks:9,29.8970
,441M, Num_Chunks:9,27.0377
,466M, Num_Chunks:8,33.0001
,441M, Num_Chunks:9,29.2872
,467M, Num_Chunks:8,35.7709
,441M, Num_Chunks:9,27.8742
,467M, Num_Chunks:8,28.6488
,441M, Num_Chunks:9,33.8283
,467M, Num_Chunks:8,38.8794
,467M, Num_Chunks:8,26.9180
,441M, Num_Chunks:9,39.2599
,467M, Num_Chunks:8,29.1768
,441M, Num_Chunks:9,47.1337
,467M, Num_Chunks:8,26.8956
,467M, Num_Chunks:8,26.6212
,441M, Num_Chunks:9,35.5572
,441M, Num_Chunks:9,25.7619
,467M, Num_Chunks:8,32.3811
,441M, Num_Chunks:9,27.0589
,467M, Num_Chunks:8,47.4092
,442M, Num_Chunks:9,38.1433
,442M, Num_Chunks:9,24.4473
,467M, Num_Chunks:8,42.1860
,442M, Num_Chunks:9,28.2413
,468M, Num_Chunks:8,28.1246
,442M, Num_Chunks:9,26.7769
,468M, Num_Chunks:8,26.4012
,442M, Num_Chunks:9,23.9286
,468M, Num_Chunks:8,28.1975
,442M, Num_Chunks:9,23.1328
,468M, Num_Chunks:8,29.8188
,442M, Num_Chunks:9,23.2911
,442M, Num_Chunks:9,22.8614
,468M, Num_Chunks:8,35.1411
,442M, Num_Chunks:9,26.3609
,468M, Num_Chunks:8,27.0549
,442M, Num_Chunks:9,25.3772
,468M, Num_Chunks:8,28.5693
,468M, Num_Chunks:8,27.0223
,443M, Num_Chunks:9,49.8752
,468M, Num_Chunks:8,36.3798
,443M, Num_Chunks:9,40.7400
,468M, Num_Chunks:8,33.4605
,443M, Num_Chunks:9,26.8835
,443M, Num_Chunks:9,25.0982
,469M, Num_Chunks:8,35.8764
,443M, Num_Chunks:9,27.4532
,469M, Num_Chunks:8,37.4845
,443M, Num_Chunks:9,23.4610
,469M, Num_Chunks:8,26.0777
,443M, Num_Chunks:9,37.3289
,469M, Num_Chunks:8,32.5184
,443M, Num_Chunks:9,27.9522
,469M, Num_Chunks:8,26.4291
,443M, Num_Chunks:9,36.2163
,469M, Num_Chunks:8,29.8903
,443M, Num_Chunks:9,27.9783
,469M, Num_Chunks:8,34.2229
,444M, Num_Chunks:9,32.2160
,469M, Num_Chunks:8,25.9660
,444M, Num_Chunks:9,30.3183
,469M, Num_Chunks:8,36.8237
,444M, Num_Chunks:9,28.6271
,469M, Num_Chunks:8,32.2472
,444M, Num_Chunks:9,33.0725
,470M, Num_Chunks:8,28.5062
,470M, Num_Chunks:8,26.8748
,444M, Num_Chunks:9,32.4500
,444M, Num_Chunks:9,29.0117
,470M, Num_Chunks:8,35.2598
,470M, Num_Chunks:8,27.2243
,444M, Num_Chunks:9,39.7349
,470M, Num_Chunks:8,30.9286
,444M, Num_Chunks:9,30.9881
,470M, Num_Chunks:8,24.6002
,444M, Num_Chunks:9,25.4576
,470M, Num_Chunks:8,31.8424
,444M, Num_Chunks:9,30.9788
,445M, Num_Chunks:9,29.3998
,470M, Num_Chunks:8,35.7803
,445M, Num_Chunks:9,32.4681
,470M, Num_Chunks:8,39.2374
,445M, Num_Chunks:9,25.4497
,470M, Num_Chunks:8,25.1437
,445M, Num_Chunks:9,34.2560
,471M, Num_Chunks:8,35.8808
,471M, Num_Chunks:8,27.7618
,445M, Num_Chunks:9,35.9452
,471M, Num_Chunks:8,27.5401
,445M, Num_Chunks:9,34.1980
,471M, Num_Chunks:8,24.9100
,445M, Num_Chunks:9,20.0662
,471M, Num_Chunks:8,34.6409
,445M, Num_Chunks:9,39.3468
,471M, Num_Chunks:8,26.2535
,445M, Num_Chunks:9,26.3333
,471M, Num_Chunks:8,29.1963
,445M, Num_Chunks:9,27.9773
,446M, Num_Chunks:9,25.9748
,471M, Num_Chunks:8,38.9871
,446M, Num_Chunks:9,24.2735
,471M, Num_Chunks:8,28.3909
,446M, Num_Chunks:9,30.7057
,471M, Num_Chunks:8,26.8426
,446M, Num_Chunks:9,31.5098
,472M, Num_Chunks:8,45.1647
,446M, Num_Chunks:9,29.2775
,446M, Num_Chunks:9,22.0085
,472M, Num_Chunks:8,36.4948
,472M, Num_Chunks:8,24.9063
,446M, Num_Chunks:9,31.6219
,472M, Num_Chunks:8,23.2117
,446M, Num_Chunks:9,29.3624
,446M, Num_Chunks:9,24.4974
,472M, Num_Chunks:8,37.4849
,472M, Num_Chunks:8,27.3302
,446M, Num_Chunks:9,34.1804
,472M, Num_Chunks:8,25.4489
,447M, Num_Chunks:9,31.4699
,447M, Num_Chunks:9,25.8835
,472M, Num_Chunks:8,38.8757
,447M, Num_Chunks:9,24.3262
,447M, Num_Chunks:9,24.4414
,472M, Num_Chunks:8,51.7615
,447M, Num_Chunks:9,27.3337
,472M, Num_Chunks:8,26.9819
,447M, Num_Chunks:9,28.3531
,473M, Num_Chunks:8,25.3460
,473M, Num_Chunks:8,25.7829
,447M, Num_Chunks:9,39.0588
,447M, Num_Chunks:9,25.2635
,473M, Num_Chunks:8,38.9803
,447M, Num_Chunks:9,26.2106
,473M, Num_Chunks:8,27.5548
,447M, Num_Chunks:9,28.5352
,473M, Num_Chunks:8,27.0601
,473M, Num_Chunks:8,23.1819
,448M, Num_Chunks:9,36.1717
,448M, Num_Chunks:9,21.7602
,473M, Num_Chunks:8,34.5871
,448M, Num_Chunks:9,34.3753
,473M, Num_Chunks:8,27.7028
,448M, Num_Chunks:9,36.4604
,473M, Num_Chunks:8,36.4258
,473M, Num_Chunks:8,26.9311
,448M, Num_Chunks:9,33.1042
,448M, Num_Chunks:9,22.9434
,474M, Num_Chunks:8,35.5691
,448M, Num_Chunks:9,27.8033
,474M, Num_Chunks:8,29.1621
,448M, Num_Chunks:9,28.7518
,474M, Num_Chunks:8,26.5992
,448M, Num_Chunks:9,28.1973
,474M, Num_Chunks:8,28.9117
,448M, Num_Chunks:9,27.6669
,474M, Num_Chunks:8,29.8281
,449M, Num_Chunks:9,24.3151
,449M, Num_Chunks:9,22.3951
,474M, Num_Chunks:8,43.9220
,449M, Num_Chunks:9,26.7109
,474M, Num_Chunks:8,30.0961
,474M, Num_Chunks:8,28.1713
,449M, Num_Chunks:9,37.3289
,449M, Num_Chunks:9,28.7430
,474M, Num_Chunks:8,34.8147
,449M, Num_Chunks:9,29.4458
,474M, Num_Chunks:8,34.5948
,449M, Num_Chunks:9,23.5616
,475M, Num_Chunks:8,37.0439
,449M, Num_Chunks:9,24.6959
,449M, Num_Chunks:9,34.9061
,475M, Num_Chunks:8,42.5614
,449M, Num_Chunks:9,25.8761
,475M, Num_Chunks:8,30.8213
,475M, Num_Chunks:8,26.7748
,450M, Num_Chunks:9,39.3936
,450M, Num_Chunks:9,30.1535
,475M, Num_Chunks:8,30.8363
,450M, Num_Chunks:9,26.6138
,475M, Num_Chunks:8,31.9694
,450M, Num_Chunks:9,24.0227
,475M, Num_Chunks:8,28.0016
,450M, Num_Chunks:9,29.2841
,475M, Num_Chunks:8,26.6876
,450M, Num_Chunks:9,24.3702
,475M, Num_Chunks:8,36.2274
,450M, Num_Chunks:9,25.5351
,450M, Num_Chunks:9,24.3849
,475M, Num_Chunks:8,39.8949
,450M, Num_Chunks:9,23.2175
,476M, Num_Chunks:8,30.2594
,450M, Num_Chunks:9,37.8516
,476M, Num_Chunks:8,28.1696
,451M, Num_Chunks:9,26.4946
,476M, Num_Chunks:8,26.9224
,451M, Num_Chunks:9,29.4324
,476M, Num_Chunks:8,28.3838
,451M, Num_Chunks:9,33.1561
,476M, Num_Chunks:8,27.2035
