1M,6.24582
2M,5.71833
3M,5.66492
4M,5.76903
5M,5.79756
6M,5.81698
7M,5.77339
8M,5.90737
9M,5.83225
10M,5.87075
11M,6.11613
12M,6.29219
13M,6.81263
14M,5.97214
15M,6.79283
16M,6.03261
17M,6.25714
18M,6.70441
19M,6.93895
20M,5.98013
21M,6.55953
22M,6.22938
23M,6.70934
24M,7.42238
25M,6.5804
26M,6.79534
27M,7.96123
28M,7.01813
29M,6.77305
30M,6.40908
31M,6.75345
32M,6.20757
33M,6.10299
34M,7.79226
35M,6.29952
36M,6.4261
37M,7.516
38M,7.82192
39M,6.25703
40M,7.07392
41M,7.59495
42M,7.86692
43M,6.45366
44M,7.36101
45M,6.87674
46M,7.13796
47M,8.50105
48M,6.95756
49M,8.07387
50M,6.89877
51M,7.33181
52M,7.04806
53M,7.73814
54M,7.42572
55M,7.66018
56M,7.02283
57M,8.07845
58M,9.03532
59M,8.61146
60M,9.98311
61M,9.20731
62M,7.44927
63M,9.89831
64M,8.57634
65M,8.33995
66M,6.91942
67M,8.57786
68M,6.85547
69M,8.02452
70M,10.079
71M,9.11649
72M,7.46607
73M,7.80697
74M,7.64161
75M,7.82739
76M,10.471
77M,10.2216
78M,7.9114
79M,9.07459
80M,9.88197
81M,9.17078
82M,9.51189
83M,6.97766
84M,9.37765
85M,8.33411
86M,8.90677
87M,9.41059
88M,8.23446
89M,8.62791
90M,7.1291
91M,9.52098
92M,8.72341
93M,8.99272
94M,9.07582
95M,9.39011
96M,8.40968
97M,8.80841
98M,8.50704
99M,10.0987
100M,8.73848
101M,8.70089
102M,8.9002
103M,9.22324
104M,7.7358
105M,8.08047
106M,10.4583
107M,9.89094
108M,9.01868
109M,8.78278
110M,7.75198
111M,7.89456
112M,9.15429
113M,7.30905
114M,8.8218
115M,10.2113
116M,11.5472
117M,10.0116
118M,10.2831
119M,10.2167
120M,9.29148
121M,10.1224
122M,9.58014
123M,10.3932
124M,8.96224
125M,8.27748
126M,9.12317
127M,12.2863
128M,11.8655
129M,10.4637
130M,9.39314
131M,11.7163
132M,12.0907
133M,8.28633
134M,10.6636
135M,9.87638
136M,8.90382
137M,9.268
138M,9.49437
139M,12.4251
140M,9.27138
141M,8.55201
142M,11.0727
143M,9.91423
144M,10.6176
145M,12.0719
146M,9.43661
147M,10.097
148M,11.1615
149M,11.1132
150M,9.83055
151M,11.1566
152M,12.071
153M,12.6951
154M,10.2038
155M,10.8139
156M,9.2189
157M,10.146
158M,10.4438
159M,11.1905
160M,9.68928
161M,10.4594
162M,9.68678
163M,11.2328
164M,9.9142
165M,10.6074
166M,12.3485
167M,9.77247
168M,10.5719
169M,9.9721
170M,11.6738
171M,11.23
172M,10.1699
173M,9.65141
174M,11.5936
175M,10.3354
176M,12.8967
177M,11.4353
178M,11.6051
179M,11.4207
180M,11.1365
181M,11.3186
182M,10.8881
183M,10.314
184M,10.2144
185M,13.7641
186M,10.3197
187M,11.4045
188M,11.4779
189M,12.2975
190M,11.3098
191M,9.9199
192M,13.2339
193M,10.3279
194M,10.741
195M,12.9218
196M,11.6845
197M,12.219
198M,11.4666
199M,12.608
200M,10.7489
201M,9.68649
202M,10.4651
203M,10.4516
204M,11.0581
205M,10.2125
206M,11.8723
207M,11.4023
208M,12.0325
209M,12.7227
210M,13.4649
211M,10.7699
212M,11.5827
213M,12.5649
214M,13.3252
215M,11.9362
216M,12.4777
217M,11.9914
218M,12.5987
219M,12.0296
220M,10.9838
221M,14.6474
222M,13.2131
223M,10.8914
224M,11.5489
225M,12.5382
226M,12.1006
227M,14.1693
228M,11.4921
229M,11.6216
230M,10.9151
231M,12.2731
232M,12.0447
233M,12.2267
234M,11.8087
235M,13.3019
236M,12.2975
237M,10.8306
238M,13.3565
239M,13.5592
240M,12.7956
241M,10.3511
242M,12.9012
243M,12.015
244M,12.7908
245M,14.4501
246M,12.0303
247M,12.94
248M,12.7698
249M,12.44
250M,14.981
251M,14.0189
252M,11.0247
253M,11.5672
254M,12.0134
255M,12.0344
256M,11.4893
257M,11.5457
258M,13.5741
259M,11.9733
260M,14.212
261M,10.4551
262M,15.8283
263M,14.0329
264M,12.4243
265M,13.3898
266M,12.6568
267M,13.8003
268M,13.2824
269M,13.3326
270M,11.9229
271M,11.9837
272M,16.7374
273M,14.4638
274M,14.6753
275M,12.4581
276M,14.4614
277M,14.6272
278M,12.296
279M,11.2868
280M,11.1535
281M,12.9657
282M,11.8717
283M,12.8397
284M,12.7758
285M,13.165
286M,14.306
287M,12.3808
288M,11.3821
289M,12.6847
290M,14.0391
291M,14.9507
292M,12.2854
293M,11.7893
294M,13.4061
295M,11.9478
296M,13.5259
297M,12.146
298M,13.2865
299M,11.3631
300M,13.8681
301M,13.3675
302M,14.7092
303M,12.3851
304M,13.1668
305M,15.2005
306M,17.6707
307M,12.8856
308M,14.3177
309M,13.0334
310M,14.5689
311M,15.0909
312M,12.6818
313M,13.4197
314M,12.4235
315M,16.1828
316M,14.5829
317M,12.122
318M,14.3646
319M,15.3919
320M,15.8719
321M,14.933
322M,11.3844
323M,15.4366
324M,16.8513
325M,13.3417
326M,12.904
327M,14.1725
328M,13.1331
329M,13.5316
330M,13.7698
331M,13.1419
332M,12.536
333M,12.6812
334M,13.5606
335M,15.3821
336M,13.0457
337M,13.5338
338M,11.9824
339M,12.3116
340M,15.9264
341M,13.0626
