288M,19.6461
284M,19.2802
280M,20.3029
257M,19.6666
253M,20.9623
226M,17.3891
222M,17.756
388M,22.7764
384M,23.9537
380M,22.108
357M,21.3127
353M,20.3983
326M,23.1534
322M,21.8052
78M,14.1113
74M,16.5169
8M,12.1955
70M,13.6422
4M,11.4083
47M,14.3245
43M,12.9866
196M,19.2675
192M,16.83
16M,13.0491
12M,12.4187
169M,16.7394
165M,14.0928
161M,15.1187
426M,24.6655
422M,24.1341
138M,14.2016
134M,14.1856
130M,14.8451
296M,19.5558
292M,20.1511
269M,18.8292
265M,17.8715
261M,18.0675
238M,17.9618
234M,19.6454
230M,18.5778
207M,17.5119
203M,20.8503
396M,23.5951
392M,23.8053
369M,21.8614
365M,20.5557
361M,20.7845
338M,22.7962
334M,21.2822
330M,20.5093
307M,20.4185
303M,20.5378
86M,15.6988
82M,15.6698
59M,14.303
55M,12.8112
51M,13.1154
28M,12.9287
24M,12.4972
20M,12.3169
177M,15.7576
173M,14.8822
146M,13.4899
142M,13.8789
407M,22.0232
403M,24.1445
119M,13.7772
115M,15.163
111M,13.5406
277M,20.7627
273M,18.5604
246M,20.4746
242M,19.3726
107M,13.7746
103M,16.4481
219M,19.289
215M,17.069
211M,16.9648
377M,24.6906
373M,22.3231
346M,21.7063
342M,22.8211
319M,22.3887
315M,21.253
311M,22.3967
98M,13.8235
94M,13.3069
90M,15.2139
67M,13.7394
63M,14.5451
36M,13.3989
32M,12.0967
189M,18.8041
185M,16.7567
181M,15.7368
158M,17.0327
154M,14.7396
419M,25.9234
150M,14.1326
415M,23.3834
411M,21.5979
127M,13.3073
123M,15.9562
289M,18.6101
285M,18.8085
281M,21.0029
258M,19.9661
254M,19.8077
250M,19.483
227M,16.9946
223M,18.4094
389M,22.1064
385M,23.2373
381M,24.6617
358M,23.2877
354M,21.263
350M,21.5932
327M,21.1148
323M,21.3867
79M,13.8531
75M,14.2825
9M,12.3248
71M,13.6052
5M,11.5516
1M,12.5675
48M,12.3511
44M,13.4873
40M,13.0391
197M,18.68
193M,17.0178
17M,12.8953
13M,12.6258
166M,17.4573
162M,15.1742
427M,22.7829
423M,24.2227
139M,17.4449
135M,14.2213
131M,14.1335
297M,21.5426
293M,21.3088
266M,19.1899
262M,19.9338
239M,18.6311
235M,20.9591
231M,19.0657
208M,17.6226
204M,19.7931
200M,17.3824
397M,23.6234
393M,22.5153
366M,21.2893
362M,23.1596
339M,20.1812
335M,23.828
331M,21.6546
308M,20.6263
304M,23.1297
300M,20.6886
87M,14.0511
83M,14.1724
56M,13.6846
52M,13.007
29M,13.0748
25M,12.655
21M,12.7937
178M,15.2307
174M,15.5781
170M,15.0667
147M,16.0336
143M,14.8199
408M,19.4511
404M,24.4162
400M,21.9555
116M,13.8248
112M,14.5241
278M,19.8164
274M,21.0729
270M,19.1897
247M,21.3199
243M,17.8045
108M,14.4598
104M,15.1704
100M,14.025
216M,18.375
212M,17.2934
378M,22.3437
374M,21.8679
370M,21.8228
347M,21.8008
343M,21.2071
316M,21.0424
312M,22.5047
99M,15.6218
95M,15.6689
91M,14.315
68M,13.4932
64M,13.1339
60M,15.193
37M,12.2618
33M,12.1119
186M,19.283
182M,17.5774
159M,14.7886
155M,15.6274
151M,14.3338
416M,23.8061
412M,23.6448
128M,15.0194
124M,14.2928
120M,14.2192
286M,21.011
282M,21.3029
259M,17.8984
255M,18.3013
251M,18.6307
228M,19.5018
224M,16.9774
220M,19.9476
386M,22.5108
382M,24.3209
359M,23.5857
355M,25.6446
351M,21.0503
328M,21.2352
324M,22.8257
320M,21.092
76M,14.9039
72M,14.2604
6M,11.7905
2M,11.4113
49M,14.8428
45M,13.9531
41M,13.2556
198M,18.4108
194M,16.9883
18M,12.0985
190M,17.7465
14M,12.7612
10M,12.3186
167M,18.0089
163M,17.1828
424M,23.6345
420M,24.748
136M,14.0796
132M,15.0678
298M,19.3241
294M,21.5608
290M,22.5003
267M,18.8905
263M,20.2104
236M,19.7778
232M,19.8686
209M,18.5104
205M,18.3314
201M,18.313
398M,22.1546
394M,24.7288
390M,20.6759
367M,21.2015
363M,21.3258
336M,22.9545
332M,21.0204
309M,20.067
305M,20.2717
301M,20.7136
88M,14.9309
84M,14.8886
80M,14.579
57M,13.3328
53M,12.863
26M,12.7618
22M,12.1279
179M,16.511
175M,15.257
171M,17.8987
148M,13.0592
144M,13.5621
409M,22.0357
140M,15.3876
405M,21.3139
401M,23.544
117M,15.212
113M,14.3207
279M,20.903
275M,20.2172
271M,19.1429
248M,20.1364
244M,18.904
109M,13.1659
240M,20.7454
105M,15.9736
101M,15.7889
217M,17.2319
213M,17.7031
379M,21.221
375M,20.7998
371M,23.1048
348M,21.2314
344M,22.1884
340M,21.686
317M,21.4677
313M,19.1041
96M,13.6683
92M,14.5609
69M,13.9088
65M,14.0116
61M,14.3525
38M,13.1609
34M,12.0782
30M,13.1043
187M,15.8706
183M,16.7177
156M,15.2024
152M,14.3371
417M,24.0075
413M,23.0354
129M,14.3293
125M,14.0097
121M,14.736
287M,21.3722
283M,19.7276
256M,18.5209
252M,19.75
229M,18.3634
225M,16.4761
221M,17.0983
387M,23.7655
383M,23.7127
356M,21.2913
352M,21.0246
329M,22.0904
325M,19.701
321M,23.2215
77M,13.9509
73M,14.2995
7M,11.963
3M,11.3006
46M,14.063
42M,12.9978
199M,17.5642
195M,15.9335
191M,17.4083
19M,12.1941
15M,13.0227
11M,12.5151
168M,13.6848
164M,15.3833
160M,16.6436
425M,23.3272
421M,22.6581
137M,13.841
133M,14.169
299M,20.5183
295M,23.1595
291M,20.257
268M,19.669
264M,20.4644
260M,18.4672
237M,21.4282
233M,17.9972
206M,16.7619
202M,17.0153
399M,23.8233
395M,21.478
391M,23.9837
368M,21.6352
364M,21.915
360M,24.6458
337M,22.3182
333M,19.3592
306M,20.6032
302M,21.6684
89M,14.4909
85M,15.4422
81M,13.8858
58M,13.7185
54M,13.589
50M,13.2363
27M,12.6085
23M,12.3299
176M,16.6952
172M,15.9928
149M,14.3543
145M,13.6638
141M,13.194
406M,21.5793
402M,21.0712
118M,13.0391
114M,13.4332
110M,13.9052
276M,20.8045
272M,20.7394
249M,18.7711
245M,19.5889
241M,19.396
106M,16.2694
102M,17.6256
218M,19.4811
214M,16.9074
210M,16.156
376M,23.8386
372M,22.517
349M,22.5823
345M,25.0556
341M,21.5093
318M,20.0002
314M,19.5258
310M,20.4936
97M,13.3714
93M,13.7098
66M,14.5394
62M,13.1412
39M,12.7439
35M,12.2262
31M,13.0608
188M,17.1423
184M,17.1514
180M,16.5216
157M,16.9317
153M,15.7836
418M,22.1462
414M,23.9489
410M,22.5772
126M,13.4566
122M,17.5808
