Iteration,FileSize,Delay
1,64G,,143.80379366874695
2,64G,,159.2742280960083
3,64G,,163.4085624217987
4,64G,,161.83251953125
5,64G,,158.16715812683105
6,64G,,170.02223181724548
7,64G,,155.32267475128174
8,64G,,166.00400137901306
9,64G,,154.61428499221802
10,64G,,161.87462401390076
