Iteration,FileSize,Delay
1,32G,,78.84212112426758
2,32G,,95.51852583885193
3,32G,,82.9633138179779
4,32G,,80.37063360214233
5,32G,,74.36830186843872
6,32G,,73.48936820030212
7,32G,,70.63977861404419
8,32G,,75.94962072372437
9,32G,,73.24354529380798
10,32G,,71.35521364212036
