Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
64,1,1736144527.144361561,1736144582.801296586,55.656935025
64,2,1736144582.804056170,1736144638.386402382,55.582346212
64,3,1736144638.389552200,1736144692.963644798,54.574092598
64,4,1736144692.966353487,1736144751.424713821,58.458360334
64,5,1736144751.427745964,1736144811.663938675,60.236192711
64,6,1736144811.666741146,1736144878.662964863,66.996223717
64,7,1736144878.665802371,1736144939.203049554,60.537247183
64,8,1736144939.206524809,1736144999.033859196,59.827334387
64,9,1736144999.036528359,1736145058.191250873,59.154722514
64,10,1736145058.194133697,1736145112.658440880,54.464307183
