Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
1,1,1736141786.244604505,1736141841.759071618,55.514467113
1,2,1736141841.762601332,1736141896.888157608,55.125556276
1,3,1736141896.890913919,1736141946.003469184,49.112555265
1,4,1736141946.006694436,1736141990.544742108,44.538047672
1,5,1736141990.548477509,1736142032.371449727,41.822972218
1,6,1736142032.374799332,1736142076.881294945,44.506495613
1,7,1736142076.884495280,1736142118.121787441,41.237292161
1,8,1736142118.125328315,1736142161.342712882,43.217384567
1,9,1736142161.345538322,1736142201.163207064,39.817668742
1,10,1736142201.166447965,1736142243.692542485,42.526094520
