Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
8,1,1736143087.580177108,1736143135.113078421,47.532901313
8,2,1736143135.116022099,1736143176.670246397,41.554224298
8,3,1736143176.673261149,1736143219.899756612,43.226495463
8,4,1736143219.902516655,1736143269.173790767,49.271274112
8,5,1736143269.176994844,1736143310.688455130,41.511460286
8,6,1736143310.691808307,1736143351.711620337,41.019812030
8,7,1736143351.714764221,1736143395.056798798,43.342034577
8,8,1736143395.059917806,1736143442.101355370,47.041437564
8,9,1736143442.104809256,1736143487.379659321,45.274850065
8,10,1736143487.382518912,1736143528.490894721,41.108375809
