Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
2,1,1736142243.695968283,1736142284.482401476,40.786433193
2,2,1736142284.485950857,1736142330.398906480,45.912955623
2,3,1736142330.403533495,1736142375.864702944,45.461169449
2,4,1736142375.868446819,1736142417.977745958,42.109299139
2,5,1736142417.981028687,1736142460.282391570,42.301362883
2,6,1736142460.285677605,1736142499.609068075,39.323390470
2,7,1736142499.611921988,1736142539.459340899,39.847418911
2,8,1736142539.462455261,1736142582.801880927,43.339425666
2,9,1736142582.805552817,1736142627.471097498,44.665544681
2,10,1736142627.473850482,1736142668.951718321,41.477867839
