Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
16,1,1736143528.494419341,1736143576.646568809,48.152149468
16,2,1736143576.649658412,1736143627.909577332,51.259918920
16,3,1736143627.912644624,1736143674.119166016,46.206521392
16,4,1736143674.122551475,1736143722.615335815,48.492784340
16,5,1736143722.618504747,1736143764.472590219,41.854085472
16,6,1736143764.474834074,1736143815.950043947,51.475209873
16,7,1736143815.952722971,1736143868.669084537,52.716361566
16,8,1736143868.671658282,1736143911.813847437,43.142189155
16,9,1736143911.816840610,1736143965.969742013,54.152901403
16,10,1736143965.972750203,1736144013.502924937,47.530174734
