Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
128,1,1736145112.661758511,1736145188.445200140,75.783441629
128,2,1736145188.448254185,1736145254.933545189,66.485291004
128,3,1736145254.936049653,1736145334.080220408,79.144170755
128,4,1736145334.083284722,1736145414.674062129,80.590777407
128,5,1736145414.676789912,1736145492.769517868,78.092727956
128,6,1736145492.772464372,1736145565.544962218,72.772497846
128,7,1736145565.547894596,1736145632.331279117,66.783384521
128,8,1736145632.334295513,1736145698.527036302,66.192740789
128,9,1736145698.530092963,1736145776.730297686,78.200204723
128,10,1736145776.734164550,1736145846.245611822,69.511447272
