Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
256,1,1736145846.248780284,1736145953.525556513,107.276776229
256,2,1736145953.529090522,1736146061.526090084,107.996999562
256,3,1736146061.529440879,1736146169.830636448,108.301195569
256,4,1736146169.834248304,1736146281.359850938,111.525602634
256,5,1736146281.362936184,1736146399.886967013,118.524030829
256,6,1736146399.890354126,1736146514.468770784,114.578416658
256,7,1736146514.471791038,1736146622.334967635,107.863176597
256,8,1736146622.338493769,1736146734.934292678,112.595798909
256,9,1736146734.937726971,1736146840.472506605,105.534779634
256,10,1736146840.476018937,1736146955.193484919,114.717465982
