Chunk Size (MB),Run,Start Time,End Time,Duration (seconds)
4,1,1736142668.954079878,1736142709.202703625,40.248623747
4,2,1736142709.206181801,1736142749.653677033,40.447495232
4,3,1736142749.656475714,1736142792.173888315,42.517412601
4,4,1736142792.177363756,1736142833.791106942,41.613743186
4,5,1736142833.793906536,1736142875.076753782,41.282847246
4,6,1736142875.079977944,1736142919.935490332,44.855512388
4,7,1736142919.938818659,1736142962.574898008,42.636079349
4,8,1736142962.578332685,1736143004.747122553,42.168789868
4,9,1736143004.750319635,1736143048.077936565,43.327616930
4,10,1736143048.081250397,1736143087.576874077,39.495623680
